,name,addr,city,state,lat,lon
0,Historic Baptist Church,North Kingstown,RI,02852,41.551428,-71.469388
1,Adelphi Calvary Baptist Church,Runnells,IA,50237,41.511101,-93.357432
2,Agape Baptist Church,Stockton,MO,65785,37.698928,-93.796044
3,Ahava Baptist Church,Plant City,FL,33567,27.955776,-82.142733
4,Albemarle Baptist Church,Charlottesville,VA,22901,38.057972,-78.49387
5,Aliquippa Baptist Temple,Aliquippa,PA,15001,40.610239,-80.267726
6,Fellowship Baptist Church,Baden,PA,15005,40.635067,-80.228116
7,Altoona Regular Baptist Church,Altoona,IA,50009,41.643731,-93.469603
8,Amazing Grace Baptist Church,Kansas City,KS,66103,39.051424,-94.624533
9,Amazing Grace Baptist Church,St Charles,MO,63303,38.759233,-90.535572
10,Ambassador Baptist Church,Pittsburgh,PA,15209,40.490768,-79.972274
11,Ambassador Baptist Church,Sparta,WI,54656,43.944133,-90.812912
12,Andalusia Community Baptist Church,Andalusia,IL,61232,41.439199,-90.717641
13,Northlight Baptist Church,Pendleton,IN,46064,39.997542,-85.746644
14,Antioch Baptist Church,Belleville,MI,48111,42.204841,-83.485211
15,Antioch Baptist Church,Rochester,IN,46975,41.064885,-86.215996
16,Bible Baptist Church,Fairbanks,AK,99701,64.837845,-147.716675
17,Averyville Baptist Church,East Peoria,IL,61611,40.666149,-89.580098
18,Bailey's Grove Baptist Church,Asheboro,NC,27203,35.707915,-79.813645
19,Baileyville Baptist Church,Baileyville,IL,61007,42.197398,-89.588098
20,Baptist Temple of Franklin,Franklin,PA,16323,41.397836,-79.831444
21,Baptist Temple,Grand Prairie,TX,75051,32.719361,-97.00593
22,Triumph Baptist Church,Fort Worth,TX,76110,32.701708,-97.340012
23,Bath Baptist Church,Bath,MI,48808,42.818992,-84.448975
24,Bay View Baptist Church,Washington,IL,61571,40.703399,-89.406511
25,Beecher Fellowship Baptist Church,Beecher,IL,60401,41.340542,-87.621514
26,Beeville Baptist Church,Beeville,TX,78102,28.400832,-97.748331
27,Bella Vista Baptist Church,Albuquerque,NM,87110,35.11087,-106.577848
28,Berean Baptist Church,Adrian,MI,49221,41.897515,-84.037305
29,Berean Baptist Church,Beloit,WI,53511,42.508327,-89.031784
30,Berean Baptist Church,Boone,IA,50036,42.059699,-93.88022
31,Berean Baptist Church,Livonia,MI,48152,42.426257,-83.358972
32,Berean Baptist Church,Ocala,FL,34474,29.151808,-82.198303
33,Berean Baptist Church,Rockford,IL,61101,42.271395,-89.093966
34,Berean Bible Baptist Church,South Lyon,MI,48178,42.451377,-83.659179
35,Berkshire Hills Baptist Church,Lee,MA,01238,42.30392,-73.234097
36,Beth Haven Baptist Church,Sheridan,MI,48884,43.212254,-85.073626
37,Bethany Baptist Church,Deptford,NJ,08096,39.831291,-75.109944
38,Bethany Independent Baptist Church,Courtland,MS,38620,34.240944,-89.942868
39,Bethel Baptist Church,Cary,NC,27511,35.768441,-78.779371
40,Bethel Baptist Church,Jackson,TN,38305,35.684871,-88.840476
41,Bethel Baptist Church,Linton,IN,47441,39.034767,-87.165846
42,Bethel Baptist Church,Manistique,MI,49854,45.95779,-86.246419
43,Bethel Baptist Church,Pekin,IL,61554,40.568985,-89.650105
44,Bethel Baptist Church,Philadelphia,PA,19125,39.979076,-75.125912
45,Bethel Baptist Church,Rockwall,TX,75087,32.931234,-96.459709
46,Bethel Baptist Church,Schaumburg,IL,60194,42.03,-88.11
47,Bethel Baptist Church,Spanaway,WA,98387,47.097946,-122.424342
48,Bethel Baptist Church,Walls,MS,38680,34.957873,-90.151761
49,Hampton Road Baptist Church,Fairmont,WV,26554,39.485085,-80.142578
50,Bible Baptist Church,Beaver Dam,KY,42320,37.401992,-86.875826
51,Bible Baptist Church,Belvidere,IL,61008,42.257999,-88.841734
52,Bible Baptist Church,,NC,28425,34.552111,-77.926098
53,Bible Baptist Church,Byesville,OH,43723,39.969794,-81.536511
54,Bible Baptist Church,Carnegie,PA,15106,40.40868,-80.083389
55,Bible Baptist Church,Cedar Rapids,IA,52402,42.017451,-91.652551
56,Bible Baptist Church,Central Lake,MI,49622,45.070162,-85.264157
57,Kalamazoo Baptist Church,Kalamazoo,MI,49006,42.286936,-85.621978
58,Bible Baptist Church,Charlevoix,MI,49720,45.317649,-85.258348
59,Bible Baptist Church,Clarksville,TN,37043,36.524488,-87.286853
60,Bible Baptist Church,Clementon,NJ,08021,39.811503,-74.982944
61,Bible Baptist Church,Conway,AR,72034,35.088696,-92.442101
62,Bible Baptist Church,Dubuque,IA,52001,42.500622,-90.664797
63,Bible Baptist Church,El Dorado,AR,71730,33.20763,-92.666267
64,Bible Baptist Church,Fort Wayne,IN,46806,41.048961,-85.11956
65,Bible Baptist Church,Glenwood,IA,51534,41.046944,-95.742506
66,Bible Baptist Church,Hazard,KY,41702,37.24942,-83.193338
67,Bible Baptist Church,Highland,IN,46322,41.553653,-87.452048
68,Bible Baptist Church,Jacksonville,AR,72076,34.866201,-92.110146
69,Bible Baptist Church,Jacksonville,FL,32208,30.393253,-81.687392
70,Bible Baptist Church,Jefferson City,MO,65109,38.577169,-92.238879
71,Bible Baptist Church,Kahoka,MO,63445,40.420318,-91.719609
72,Bible Baptist Church,Latrobe,PA,15650,40.317287,-79.38403
73,Bible Baptist Church,Marysville,CA,95901,39.145725,-121.591352
74,Bible Baptist Church,Mattoon,IL,61938,39.484282,-88.377328
75,Bible Baptist Church,Mercer,PA,16137,41.227003,-80.239785
76,Bible Baptist Church,New Franklin,MO,65274,39.017251,-92.737408
77,Bible Baptist Church,Ottumwa,IA,52501,41.020015,-92.411296
78,Bible Baptist Church,Owosso,MI,48867,42.997597,-84.172054
79,Bible Baptist Church,Pampa,TX,79065,35.536297,-100.960155
80,Bible Baptist Church,Pensacola,FL,32514,30.520392,-87.212534
81,Bible Baptist Church,Portage,IN,46368,41.575871,-87.176146
82,Bible Baptist Church,Prairie du Chien,WI,53821,43.05194,-91.140993
83,Bible Baptist Church,Radcliff,KY,40160,37.840346,-85.94913
84,Bible Baptist Church,Terre Haute,IN,47802,39.431326,-87.41492
85,Bible Baptist Church,Uniontown,PA,15401,39.900076,-79.716433
86,Bible Baptist Church,York,PA,17404,39.96,-76.75
87,Bible Baptist Church of Rendon,Fort Worth,TX,76140,32.633276,-97.288537
88,Riverside Baptist Church,Saint Joseph,MO,64507,39.76,-94.79
89,Bible Believers Baptist Church,Billings,MT,59105,45.803309,-108.530808
90,Bible Believers Baptist Church,,ID,83254,42.32215,-111.297704
91,Bible Way Baptist Church,Milton,FL,32572,30.620413,-87.056542
92,Biblical Baptist Church,Beach Park,IL,60087,42.396911,-87.852525
93,Big Sky Baptist Church,Hamilton,MT,59840,46.248886,-114.154332
94,Birch Street Baptist Church,Eau Claire,WI,54703,44.820299,-91.505362
95,Black River Baptist Church,Black River Falls,WI,54615,44.295215,-90.848414
96,Blackford Baptist Temple,Hartford City,IN,47348,40.451154,-85.369972
97,Blair Ridge Baptist Church,Cedar Rapids,IA,52411,42.031189,-91.716402
98,Blessed Hope Baptist Church,Farmington,MO,63640,37.780304,-90.422637
99,Blessed Hope Baptist Church,Jasonville,IN,47438,39.163098,-87.199181
100,Blessed Hope Baptist Church,Raymond,IL,62560,39.319494,-89.572037
101,Blessed Hope Baptist Church,Tahlequah,OK,74464,35.91537,-94.969956
102,Blissfield Baptist Church,Blissfield,MI,49228,41.832549,-83.862441
103,Blue Springs Baptist Temple,Blue Springs,MO,64014,39.018693,-94.2608
104,Bluegrass Pike Church,Danville,KY,40422,37.645649,-84.772182
105,Boeke Road Baptist Church,Evansville,IN,47714,37.960215,-87.524424
106,Boiling Springs Baptist Church,Murphy,NC,28906,35.087584,-84.034632
107,Braintrim Baptist Church,Laceyville,PA,18623,41.645909,-76.161319
108,Bristoria Baptist Church,Holbrook,PA,15341,39.855355,-80.31368
109,Broadway Baptist Church,Paducah,KY,42001,37.069171,-88.645986
110,Brook Hollow Baptist Church,DeSoto,TX,75115,32.589858,-96.856945
111,Brooking Heights Baptist Church,Raytown,MO,64133,39.016581,-94.455263
112,Brooklyn Heights Baptist Church,Americus,GA,31709,32.072386,-84.232688
113,Buchanan Avenue Baptist Church,Sioux City,IA,51106,42.469709,-96.357813
114,Burlington Bible Baptist Church,Burlington,KS,66839,38.194467,-95.742764
115,Clio Baptist Church,Clio,IA,50052,40.635008,-93.451328
116,Calvary Baptist Church,Allison Park,PA,15101,40.594825,-79.948329
117,Calvary Baptist Church,Batavia,IA,52533,40.994128,-92.167472
118,Calvary Baptist Church,Belleville,IL,62221,38.533572,-89.948592
119,Calvary Baptist Church,Gilbertsville,KY,42044,37.0245,-88.299756
120,Calvary Baptist Church,Binghamton,NY,13901,42.098713,-75.912526
121,Calvary Baptist Church,Butler,PA,16002,40.835544,-79.884011
122,Calvary Baptist Church,Campbell,MO,63933,36.493393,-90.075095
123,Calvary Baptist Church,Canton,IL,61520,40.558095,-90.035117
124,Calvary Baptist Church,,MI,48725,43.941125,-83.271347
125,Calvary Baptist Church,Charles City,IA,50616,43.066361,-92.672411
126,Calvary Baptist Church,Chattanooga,TN,37415,35.116765,-85.291004
127,Calvary Baptist Church,Clinton,IN,47842,39.656982,-87.398074
128,Calvary Baptist Church,,MS,38618,34.691768,-89.977312
129,Calvary Baptist Church,Crawfordsville,IN,47933,40.040199,-86.899025
130,Calvary Baptist Church,Dundee,MI,48131,41.957268,-83.65966
131,Calvary Baptist Church,Eufaula,OK,74432,35.287321,-95.582485
132,Calvary Baptist Church,Flora,IL,62839,38.668936,-88.485604
133,Calvary Baptist Church,Fremont,NE,68025,41.433836,-96.496045
134,Calvary Baptist Church,Geneva,IL,60134,41.887528,-88.305353
135,Calvary Baptist Church,Grand Island,NE,68803,40.928147,-98.372268
136,Calvary Baptist Church,Hollister,CA,95023,36.852455,-121.401602
137,Calvary Baptist Church,,MO,65336,38.76668,-93.558546
138,Calvary Baptist Church,Laurinburg,NC,28352,34.77405,-79.462825
139,Calvary Baptist Church,Marion,IA,52302,42.034166,-91.597677
140,Calvary Baptist Church,Memphis,TN,38115,35.055584,-89.858467
141,Calvary Baptist Church,Middleburg,FL,32068,30.068851,-81.860378
142,Calvary Baptist Church,,PA,15672,40.219226,-79.609726
143,Calvary Baptist Church,Normal,IL,61761,40.509287,-88.98438
144,Calvary Baptist Church,Palestine,TX,75801,31.762115,-95.630789
145,Calvary Baptist Church,Platteville,WI,53818,42.734294,-90.478445
146,Calvary Baptist Church,Randleman,NC,27317,35.817914,-79.803087
