name,addr,city,state,attend,denom,lat,lon
Abundant Life Baptist Church,Lees Summit, MO,4,500,Southern Baptist Convention,38.910716,-94.38213
Abundant Life Christian Center[8],La Marque, TX,3,000,Nondenominational / Evangelical Christian,29.368567,-94.971313
Abundant Life Church,Denham Springs, LA,2,000,Non-denominational,30.486856,-90.956213
Abundant Living Faith Center,El Paso, TX,12,400,Non-denominational,31.775415,-106.464634
Acts Full Gospel Church,Oakland, CA,6,000,Church of God in Christ,37.804456,-122.271356
Ada Bible Church,Ada, MI,10,000,Non-denominational,42.959373,-85.496158
All Saints Episcopal Church,Pasadena, CA,2,300,Episcopal Church (United States),39.459118,-6.379508
All Souls Unitarian Church,Tulsa, OK,2,167,Unitarian Universalist Association,36.155681,-95.992911
Angelus Temple,Los Angeles, CA,8,300,Foursquare Church,34.053691,-118.242766
Antioch Community Church,Waco, TX,4-5,000,Non-denominational,31.549333,-97.14667
Antioch Missionary Baptist Church,Miami Gardens, FL,7,000,Baptist,25.946705,-80.149024
Apostolic Church of God,Chicago, IL,6,500,Pentecostal Assemblies of the World,41.875562,-87.624421
Apostolic Faith Church,Chicago, IL,2,000,Pentecostal Assemblies of the World,41.875562,-87.624421
Bay Area Christian Church[9],Palo Alto, CA,3,600,Christian churches and churches of Christ,37.444329,-122.159847
Bayside Community Church,Bradenton, FL,12,000,Non-denominational,27.498928,-82.574819
Bayou City Fellowship,Houston, TX,3,000,Southern Baptist Convention,29.758938,-95.367697
Beaverton Foursquare Church,Beaverton, OR,5,600,Foursquare Church,45.487172,-122.80378
Bellevue Baptist Church[10],Memphis, TN,7,138,Southern Baptist Convention,35.149022,-90.051629
Bell shoals baptist church[11],Brandon, FL,3,000,Southern Baptist Convention,27.937801,-82.285925
Beltway Park Baptist Church[12][13],Abilene, TX,2,700,Non-denominational,32.44645,-99.747591
Bethany Baptist Church,Lindenwold, NJ,6,000,Non-denominational,39.812002,-75.005563
Bethany First Church of the Nazarene[14][15],Bethany, OK,2,200,Church of the Nazarene,35.518673,-97.632265
Bethany Church,Baton Rouge, LA,8,000,Non-denominational,30.44596,-91.18738
Bethel Baptist Institutional Church,Jacksonville, FL,8,000,Baptist,30.332184,-81.655651
Bethel Church[16],Redding, CA,8,700,Non-denominational,40.586356,-122.391675
Bethel Church of San Jose[17],San Jose, CA,2,200,Assemblies of God,37.336191,-121.890583
Bethel Korean Presbyterian Church,Ellicott City, MD,2,000,Independent Presbyterian,39.267328,-76.798307
Bethlehem Baptist Church,Minneapolis, MN,4,600,Converge (Baptist denomination),44.9773,-93.265469
Biltmore Church[18],Arden, NC,6,000,Southern Baptist Convention,35.466182,-82.516424
Beulah Missionary Baptist Church,Atlanta, GA,5,000,Southern Baptist Convention,33.748992,-84.390264
Bible Way Church of Atlas Road,Columbia, SC,7,000,,34.000749,-81.034331
Big Valley Grace Community Church[20],Modesto, CA,4,000,Non-denominational,37.639097,-120.996878
Black Rock Church,Fairfield, CT,2,500,Non-denominational,41.141208,-73.263726
Brand New Church,Harrison, AR,3,000,Southern Baptist Convention,36.229794,-93.107677
Brentwood Baptist Church,Brentwood, TN,6,000,Southern Baptist Convention,36.032569,-86.782524
Briarwood Presbyterian Church,Birmingham, AL,4,100,Presbyterian Church in America,33.520682,-86.802433
Bridgeway Community Church,Columbia, MD,4,000,Non-denominational,39.215621,-76.858205
Broadmoor Baptist Church,Madison, MS,3,000,Southern Baptist Convention,32.461809,-90.115364
Brookland Baptist Church,West Columbia, SC,8,100,,33.993487,-81.073983
Brooklyn Tabernacle,New York, NY,8,000,Non-denominational,40.750183,-73.983759
Brookwood Church[21],Simpsonville, SC,5,500,Southern Baptist Convention,34.737064,-82.254283
Calvary Baptist Church,Winston-Salem, NC,6,000,Southern Baptist Convention,36.099813,-80.244052
Calvary Chapel Aurora,Aurora, CO,3,500,Calvary Chapel,39.740511,-104.830995
Calvary Chapel Chino Valley,Chino, CA,8,500,Calvary Chapel,34.013356,-117.690075
Calvary Chapel Costa Mesa[22],Costa Mesa, CA,9,500,Calvary Chapel,33.663339,-117.903317
Calvary Chapel Downey,Downey, CA,7,000,Calvary Chapel,33.942215,-118.123565
Calvary Chapel Fort Lauderdale,Fort Lauderdale, FL,18,500,Calvary Chapel,26.122308,-80.143379
Calvary Chapel Golden Springs,Diamond Bar, CA,12,000,Calvary Chapel,34.028623,-117.810337
Calvary Chapel Melbourne,West Melbourne, FL,10,000,Calvary Chapel,28.042227,-80.664094
Calvary Chapel of Philadelphia,Philadelphia, PA,14,000,Calvary Chapel,39.952724,-75.163526
Calvary Chapel South Bay,Gardena, CA,9,000,Calvary Chapel,33.896359,-118.305304
Calvary Chapel,Tucson, AZ,8,000,Calvary Chapel,32.222877,-110.974848
Calvary Church[23],Charlotte, NC,5,000,,35.227209,-80.843083
Calvary Church,St. Charles, MO,2,400[24],,38.794625,-90.519829
Calvary of Albuquerque,Albuquerque, NM,16,800,Calvary Chapel,35.084103,-106.650985
