name,addr,state,lat,lon
Amazing Grace Community Church,Lethbridge,AB,49.694285,-112.851562
Crestwood Presbyterian Church,Edmonton,AB,53.535411,-113.507996
New City Church,Calgary,AB,51.046095,-114.065465
Westminster Chapel,Lethbridge,AB,49.694285,-112.851562
Woodgreen Presbyterian Church,Calgary,AB,51.046095,-114.065465
Anchorage New Life Presbyterian Church,Anchorage,AK,61.216313,-149.894852
Faith Presbyterian Church,Anchorage,AK,61.216313,-149.894852
Redeemer Presbyterian Church,Kenai,AK,60.554444,-151.258333
Altadena Valley Presbyterian Church,Birmingham,AL,33.520682,-86.802433
Bethel Presbyterian Church,Union Springs,AL,32.144316,-85.71495
Boligee Presbyterian Church,Boligee,AL,32.755965,-88.028907
Brent Presbyterian Church,Brent,AL,32.937346,-87.164718
Briarwood Presbyterian Church,Birmingham,AL,33.520682,-86.802433
Cahaba Park Church PCA,Birmingham,AL,33.520682,-86.802433
Catherine Presbyterian Church,Catherine,AL,32.184588,-87.469443
Central Presbyterian Church,Emelle,AL,32.7293,-88.314476
Christ Church PCA,Trussville,AL,33.619627,-86.608434
Christ Community Church,Springville,AL,33.7751,-86.471651
Christ Community Church,Helena,AL,33.296224,-86.8436
Christ Covenant Presbyterian Church,Cullman,AL,34.174841,-86.84358
Christ Presbyterian Church,Mobile,AL,30.694357,-88.043054
Christ Presbyterian Church,Owens Cross Roads,AL,34.588146,-86.458877
Christ Presbyterian Church of Auburn,Auburn,AL,32.609857,-85.480783
Christ Redeemer Church,Mobile,AL,30.694357,-88.043054
City Church Midtown,Birmingham,AL,33.520682,-86.802433
Clayton Presbyterian Church,Clayton,AL,40.4478165,-79.9013365
Collinsville Presbyterian Church,Collinsville,AL,34.264831,-85.860864
Community Presbyterian Church,Moody,AL,33.590937,-86.490817
Cornerstone Presbyterian Church,Huntsville,AL,34.729847,-86.585901
Covenant Presbyterian Church,Birmingham,AL,33.520682,-86.802433
Covenant Presbyterian Church,Auburn,AL,32.609857,-85.480783
Covenant Presbyterian Church,Eufaula,AL,31.891272,-85.145488
Cross Creek Church,Hoover,AL,33.384893,-86.807048
Decatur Presbyterian Church,Decatur,AL,34.60602,-86.983817
Eastern Shore Presbyterian Church,Fairhope,AL,30.523165,-87.902846
Eastwood Presbyterian Church,Montgomery,AL,32.366966,-86.300649
Evangel Church PCA,Alabaster,AL,33.244281,-86.816377
Evangel Presbyterian Church - Oneonta,Oneonta,AL,33.948154,-86.472764
Faith Presbyterian Church,Birmingham,AL,33.520682,-86.802433
Faith Presbyterian Church,Anniston,AL,33.659442,-85.831633
Faunsdale Presbyterian Church,Faunsdale,AL,32.459859,-87.593894
First Presbyterian Church,Greensboro,AL,32.704575,-87.59584
First Presbyterian Church,Aliceville,AL,33.129568,-88.151417
First Presbyterian Church,Centreville,AL,32.944568,-87.138607
First Presbyterian Church,Russellville,AL,34.506714,-87.729459
First Presbyterian Church,Demopolis,AL,32.517828,-87.83682
