,name,size,addr,state,link,lat,lon
1,Dominion Ministries,Medium,12601 Old Seward Hwy Anchorage,AK,http://www.usachurches.org/church/dominion-ministries.htm,61.106183,-149.860579
2,Anchorage Baptist Temple,Mega,6401 E Northern Lights Blvd Anchorage,AK,http://www.usachurches.org/church/anchorage-baptist-temple.htm,61.195317,-149.761095
3,ChangePoint,Mega,6689 Changepoint Dr Anchorage,AK,http://www.usachurches.org/church/changepoint.htm,61.159792,-149.907042
4,Immanuel Baptist Church,Medium,6748 Old Seward Hwy Anchorage,AK,http://www.usachurches.org/church/immanuel-baptist-church-anchorage.htm,61.15939,-149.864106
5,Cowboy Church of Anchorage,Small,7801 E 32nd Ave Anchorage,AK,http://www.usachurches.org/church/cowboy-church-of-anchorage.htm,61.191634,-149.734935
6,The Anchor Missionary Baptist Church,Small,5101 O' Malley Rd Anchorage,AK,http://www.usachurches.org/church/the-anchor-missionary-baptist-church.htm,61.123068,-149.786495
7,Christ Temple Apostolic Church,Small,22827 Sherman St Chugiak,AK,http://www.usachurches.org/church/christ-temple-apostolic-church.htm,61.396394,-149.455087
8,Bethel Church,Large,1310 Farmers Loop Rd Fairbanks,AK,http://www.usachurches.org/church/bethel-church-fairbanks.htm,64.887443,-147.766806
9,Greater New Hope Church of God in Christ,Small,3510 College Rd Fairbanks,AK,http://www.usachurches.org/church/greater-new-hope-church-of-god-in-christ.htm,64.856359,-147.808023
10,First Baptist Church of Kenai,Medium,12815 Kenai Spur Hwy Kenai,AK,http://www.usachurches.org/church/first-baptist-church-of-kenai.htm,60.561226,-151.29408
11,Oceans United,Medium,3416 Woodland Dr Kodiak,AK,http://www.usachurches.org/church/kodiak-assembly-of-god.htm,57.814451,-152.354001
12,New Jerusalem Church of God in Christ,Small,2515 Mission Rd North Pole,AK,http://www.usachurches.org/church/new-jerusalem-church-of-god-in-christ-north-pole.htm,64.754877,-147.325247
13,St. Bernard's Catholic Church,Small,22136 F St Talkeetna,AK,http://www.usachurches.org/church/st-bernards-catholic-church.htm,62.323684,-150.105428
14,CrossCountry Church,Small,2700 E Broadview Ave Wasilla,AK,http://www.usachurches.org/church/cross-country-church.htm,61.570562,-149.379563
15,Unity Christian Center,Medium,111 Edmondson Ln Alabaster,AL,http://www.usachurches.org/church/unity-christian-center.htm,33.244037,-86.816869
16,Alexander City First United Methodist Church,Large,310 Green St Alexander City,AL,http://www.usachurches.org/church/alexander-city-first-united-methodist-church.htm,32.947729,-85.955273
17,Deliverance Temple Church of God in Christ,Small,619 Auburn Ave Andalusia,AL,http://www.usachurches.org/church/deliverance-temple-church-of-god-in-christ.htm,31.299894,-86.485636
18,Sovereign Grace Baptist Church,Small,5440 A L-202 Anniston,AL,http://www.usachurches.org/church/sovereign-grace-baptist-church.htm,33.632909,-85.913322
19,Chapel of Grace,Small,4456 Elkwood Section Rd Ardmore,AL,http://www.usachurches.org/church/chapel-of-grace.htm,34.977536,-86.749349
20,First Baptist Church,Medium,83558 Hwy 9Ashland,AL,http://www.usachurches.org/church/first-baptist-church-ashland.htm,32.977507,-92.565049
21,Ashland First Assembly of God,Medium,85621 Hwy 9Ashland,AL,http://www.usachurches.org/church/ashland-first-assembly-of-god.htm,32.348504,-91.701257
22,Saint Paul Community Church,Small,923 W Nashville Ave Atmore,AL,http://www.usachurches.org/church/saint-paul-community-church.htm,31.023586,-87.504768
23,McGhee Memorial Temple Church of God in Christ,Small,500 Dr Martin Luther King Blvd Bay Minette,AL,http://www.usachurches.org/church/mcghee-memorial-temple-church-of-god-in-christ.htm,30.866266,-87.783202
24,El-Bethel United Christian Church,Small,612 W Hurricane Rd Bay Minette,AL,http://www.usachurches.org/church/el-bethel-united-christian-church.htm,30.866041,-87.784081
25,Pleasant Valley Missionary Baptist Church,Small,1765 Dotson Dr Bessemer,AL,http://www.usachurches.org/church/pleasantvalleymissionarybaptistchurch.htm,33.421592,-86.891511
26,Renewed Hope Ministries,Small,2700 11th Ave N Bessemer,AL,http://www.usachurches.org/church/renewed-hope-ministries.htm,33.417265,-86.95609
27,Seventh Street Baptist Church,Medium,513 7th St S Bessemer,AL,http://www.usachurches.org/church/seventh-street-baptist-church.htm,33.384829,-86.955226
28,St. Bede's Anglican Church,Small,2350 Grants Mill Rd Birmingham,AL,http://www.usachurches.org/church/st-bedes-anglican-church.htm,33.511956,-86.652686
29,Briarwood Presbyterian Church,Mega,2200 Briarwood Way Birmingham,AL,http://www.usachurches.org/church/briarwood-presbyterian-church.htm,33.417329,-86.76096
30,Cahaba Heights United Methodist Church,Medium,3139 Cahaba Heights Rd Birmingham,AL,http://www.usachurches.org/church/cahaba-heights-united-methodist-church.htm,33.454772,-86.735392
31,St. Paul Lutheran Church,Medium,132 6th Ave S Birmingham,AL,http://www.usachurches.org/church/st-paul-lutheran-church-birmingham.htm,33.494117,-86.827745
32,Hope Lutheran Church,Small,4800 Montevallo Rd Irondale,AL,http://www.usachurches.org/church/hope-lutheran-church-birmingham.htm,33.525472,-86.718955
33,The Church of All Nations,Medium,4937 5th Ave S Birmingham,AL,http://www.usachurches.org/church/the-church-of-all-nations.htm,33.530547,-86.758358
34,Bryant Memorial Church of God in Christ,Small,1273 Avenue M Birmingham,AL,http://www.usachurches.org/church/bryant-memorial-church-of-god-in-christ.htm,33.514796,-86.884208
35,Shades Mountain Baptist Church,Mega,2017 Columbiana Rd Birmingham,AL,http://www.usachurches.org/church/shades-mountain-baptist-church.htm,33.439334,-86.807731
36,Dawson Family of Faith,Large,1114 Oxmoor Rd Birmingham,AL,http://www.usachurches.org/church/dawson-family-of-faith.htm,33.474137,-86.806326
