name,denom,addr,state,lat,lon
Abbott Loop Community Church,Community,2626 Abbott Rd Anchorage,AK,61.13724,-149.83301
Alaska Korean Crc,Christian Reformed Church in North America,709 W Intl Airport Rd Anchorage,AK,61.17388,-149.8965
Alaska Oriental Mission Church,Missionary,570 W 53rd Ave Anchorage,AK,61.17264,-149.89377
All Saints' Episcopal Church,Episcopal,545 W 8th Ave Anchorage,AK,61.21489,-149.89303
Alliance Bible Church,Christian and Missionary Alliance,941 E Dowling Rd Anchorage,AK,61.16658,-149.86491
Amazing Grace Lutheran Church,Evangelical Lutheran in America,10955 Elmore Rd Anchorage,AK,61.12189,-149.80333
Anchor Park United Methodist Church,United Methodist,2300 Oak Dr Anchorage,AK,61.201315,-149.8375
Anchorage Bible Fellowship,Non-Denominational,7348 Elmore Rd Anchorage,AK,61.154195,-149.80493
Anchorage Christian Church,Other Christian,6505 Debarr Rd Anchorage,AK,61.20986,-149.75849
Anchorage Church of Christ,Churches of Christ,2700 Debarr Rd Anchorage,AK,61.20862,-149.82971
Anchorage City Church,Non-Denominational,1301 W 100th Ave Anchorage,AK,61.13093,-149.90414
Anchorage Community SDA Church,Seventh Day Adventist,2600 E 16th Ave Anchorage,AK,61.20602,-149.83314
Anchorage Free Methodist Church,Free Methodist Church of North America,4607 E 6th Ave Anchorage,AK,61.21745,-149.79457
Anchorage Grace Church,Non-Denominational,12407 Pintail St Anchorage,AK,61.10789,-149.8189
Anchorage Korean United Methodist Church,United Methodist,9440 Carlson Rd Anchorage,AK,61.13503,-149.801255
Anchorage Lutheran Church,Lutheran Church of Missouri Synod,1420 N St Anchorage,AK,61.208195,-149.90834
Anchorage Wesleyan Church,Wesleyan,5295 Juneau Street Anchorage,AK,61.172395,-149.86258
Baxter Road Bible Church,Bible,3600 Baxter Rd Anchorage,AK,61.18767,-149.76442
Beautiful Savior Lutheran Church,Lutheran Church of Missouri Synod,8100 Arctic Blvd Anchorage,AK,61.14712,-149.89335
Bethel Hispanic Church Of God,Church of God,1009 E 14th Ave Anchorage,AK,61.20892,-149.86432
Calvary Baptist Church,Southern Baptist Convention,401 E Manor Ave Anchorage,AK,61.23116,-149.87777
Calvary Bible Baptist Church Of Anchorage,Baptist- Independent,401 W Intl Airport Rd Anchorage,AK,61.17466,-149.89194
Calvary Chapel South Anchorage,Calvary Chapel,2520 E Tudor Rd Anchorage,AK,61.18041,-149.83246
Calvary Church Assembly of God,Assemblies of God,3800 W 80th Ave Anchorage,AK,61.14823,-149.94998
Central Lutheran Church,Evangelical Lutheran in America,1420 Cordova St Anchorage,AK,61.20825,-149.88059
Christ Episcopal Church,Episcopal,5101 Omalley Rd Anchorage,AK,61.12329,-149.78659
Christ Our Savior Lutheran Church,Evangelical Lutheran in America,1612 Oceanview Dr Anchorage,AK,61.099405,-149.8524
Church Of Christ,Church of Christ,3124 Rose St Anchorage,AK,61.192,-149.78125
Cliffside Community Chapel,Southern Baptist Convention,12101 Industry Way Anchorage,AK,61.11136,-149.861
Cook Inlet Church of Christ,Restorationist,9020 Arlene St Anchorage,AK,61.138945,-149.92983
Crossroads Assembly of God,Assemblies of God,3824 Debarr Rd Anchorage,AK,61.20944,-149.80873
Dimond Boulevard Baptist Church,General Association of Regular Baptist,3616 W Dimond Blvd Anchorage,AK,61.1365,-149.94672
East Anchorage,United Methodist,1660 Patterson St Anchorage,AK,61.2057,-149.74998
Faith Christian Community,Community,4240 Wisconsin St Anchorage,AK,61.18226,-149.94587
Faith Lutheran Church,Wisconsin Evangelical Lutheran Synod,5200 Lake Otis Pkwy Anchorage,AK,61.17328,-149.83901
Filipino Bible Church,Southern Baptist Convention,3340 Raspberry Rd Anchorage,AK,61.15901,-149.94126
First American Baptist Church,American Baptist,1200 E 27th Ave Anchorage,AK,61.19588,-149.85949
First Baptist Church of Anchorage,Southern Baptist Convention,1100 W 10th Ave Anchorage,AK,61.21241,-149.90472
First Christian Church,Disciples of Christ,3031 Latouche St Anchorage,AK,61.192815,-149.859855
First Christian Methodist Episcopal Church,Methodist,3600 Macinnes St Anchorage,AK,61.18766,-149.85096
First Church Of God,Non-Denominational,4317 Macinnes St Anchorage,AK,61.18157,-149.84937
First Congregational Church,National Association of Congregational,2610 E Northern Lights Blvd Anchorage,AK,61.19501,-149.83369
First Evangelical Covenant Church,Evangelical Covenant,1145 C St Anchorage,AK,61.211,-149.88721
First Korean Baptist Church,Southern Baptist Convention,5144 E 22nd Ave Anchorage,AK,61.20015,-149.78477
First Korean Presbyterian Church,Presbyterian,3300 Wyoming Dr Anchorage,AK,61.19003,-149.91734
First Native Baptist Church of Anchorage,Southern Baptist Convention,802 E 3rd Ave Anchorage,AK,61.21945,-149.86869
First Presbyterian Church,Presbyterian,616 W 10th Ave Anchorage,AK,61.21235,-149.89437
First Samoan Church,Non-Denominational,2563 E 68th Ave Anchorage,AK,61.15927,-149.83579
First United Methodist Church,United Methodist,725 W 9th Ave Anchorage,AK,61.21372,-149.89668
Gloria Dei Lutheran Church,Evangelical Lutheran in America,8427 Jewel Lake Rd Anchorage,AK,61.1442,-149.95127
Grandview Baptist Church,Southern Baptist Convention,1300 Columbine St Anchorage,AK,61.209235,-149.81822
Greater Friendly Temple Church,Non-Denominational,6310 Debarr Rd Anchorage,AK,61.20946,-149.76315
Greater Friendship Baptist Church,Southern Baptist Convention,903 E 13th Ave Anchorage,AK,61.209885,-149.86647
Hillside Baptist Church,Southern Baptist Convention,5200 Omalley Rd Anchorage,AK,61.12285,-149.78548
Hispanic Church Of God,Church of God,1009 E 14th Ave Anchorage,AK,61.20892,-149.86432
Holy Cross Parish,Roman Catholic,2627 Lore Rd Anchorage,AK,61.15287,-149.83324
Holy Transfiguration Church,Greek Orthodox,2800 Omalley Rd Anchorage,AK,61.12153,-149.8296
Immanuel Baptist Church,Southern Baptist Convention,6748 Old Seward Hwy Anchorage,AK,61.1594,-149.8652
Immanuel Presbyterian Church,Presbyterian,2311 Pembroke St Anchorage,AK,61.1993,-149.7773
Independent Baptist Church,Baptist,1801 E 68th Ave Anchorage,AK,61.15928,-149.84839
Jesus Is Lord Church Of God,Church of God (Pentecostal),7580 E 20th Ave Anchorage,AK,61.20266,-149.73907
Jewel Lake Parish Presbyterian Church,Presbyterian,3833 Strawberry Rd Anchorage,AK,61.15225,-149.95027
Joy Christian Center,Assemblies of God,4335 Laurel St Anchorage,AK,61.18113,-149.83419
Korean First Baptist Church,Baptist,5144 E 22nd Ave Anchorage,AK,61.20015,-149.78477
Landmark Baptist Church,Baptist,4001 E 5th Ave Anchorage,AK,61.21788,-149.80601
Leake Temple Ame Zion Church,African Methodist Episcopal Zion,430 N Hoyt St Anchorage,AK,61.22741,-149.80143
Lutheran Church of Hope,Evangelical Lutheran in America,1847 W Northern Lights Blvd Anchorage,AK,61.19627,-149.91946
Maranatha Baptist Church,Baptist,7747 E 6th Ave Anchorage,AK,61.21704,-149.73566
Mt View Community Church,Southern Baptist Convention,4301 Mountain View Dr Anchorage,AK,61.22469,-149.80043
Mt Zion Missionary Baptist Church,Southern Baptist Convention,1209 W 36th Ave Anchorage,AK,61.18823,-149.90675
Muldoon Community Assembly of God,Assemblies of God,7041 Debarr Rd Anchorage,AK,61.20986,-149.74927
New Grace Christian Church,Southern Baptist Convention,10821 Totem Rd Anchorage,AK,61.12253,-149.781225
New Hope Baptist Church,Southern Baptist Convention,333 Price St Anchorage,AK,61.22666,-149.81159
North Anchorage Church Of God,Church of God (Pentecostal),1711 Bragaw St Anchorage,AK,61.20524,-149.80725
Northstar Assembly of God,Assemblies of God,360 Boniface Pkwy A7 Anchorage,AK,61.2219,-149.7786
Our Lady of Guadalupe,Roman Catholic,3900 Wisconsin St Anchorage,AK,61.18535,-149.9448
Peace Community Assembly of God,Assemblies of God,13611 Jarvi Dr Anchorage,AK,61.097495,-149.855965
Praise Temple Way of the Cross Church of Christ International,Apostolic,822 E Loop Rd Anchorage,AK,61.23104,-149.87441
Rabbit Creek Community Church,Southern Baptist Convention,3401 Rabbit Creek Rd Anchorage,AK,61.08386,-149.81808
Saint Nicholas of Myra Parish,Roman Catholic,2200 Arctic Blvd Anchorage,AK,61.20067,-149.89872
Sand Lake Baptist Church,Converge Worldwide (Baptist General Conference),7434 Jewel Lake Rd Anchorage,AK,61.15415,-149.95261
Scenic Park Bible Church,Bible,7145 Madelynne Dr Anchorage,AK,61.18441,-149.74701
Seventh Day Adventist Church,Seventh Day Adventist,204 W 10th Ave Anchorage,AK,61.21255,-149.88574
Shepherd Of The Hills Lutheran Church,Wisconsin Evangelical Lutheran Synod,11600 Elmore Rd Anchorage,AK,61.11536,-149.80525
Shiloh Baptist Church,Baptist,855 E 20th Ave Anchorage,AK,61.20174,-149.86539
Skyline Foursquare Church,Foursquare Gospel,2150 E Dowling Rd Anchorage,AK,61.16589,-149.84253
Solid Rock Baptist Church,Southern Baptist Convention,941 E Dowling Rd Anchorage,AK,61.16658,-149.86491
South Anchorage Assembly of God,Assemblies of God,12101 Brayton Dr Anchorage,AK,61.11075,-149.85064
