name;addr;lat;lon
422CHURCH.COM;2650 Audubon Road, Norristown, Alabama 19403;32.327773;-86.28983
422CHURCH.COM;2650 Audubon Road, Norristown, Alabama 19403;32.327773;-86.28983
State Line Congregational Christian Church;County Road 288, Five Points, Alabama 31833;33.04474;-85.2227
ACMAR UNITED METHODIST CHURCH;Po Box 853, MOODY, Alabama 35004;33.579081;-86.511649
COMMUNITY PRESBYTERIAN CHURCH;825 OAK BOULEVARD, Moody, Alabama 35004;33.58686;-86.50433
FIRST BAPTIST CHURCH OF MOODY;902 CHURCH STREET, Moody, Alabama 35004;33.59472;-86.49746
FIRST MISSIONARY BAPTIST CHURCH;3713 ACTON ROAD, Moody, Alabama 35004;33.619585;-86.49607
HARVEST TIME MISSIONARY CHURCH;2540 ANNIE LEE ROAD, Moody, Alabama 35004;33.6179;-86.51227
HIGH POINT FREEWILL BAPTIST CHURCH;CHAPEL CIRCLE, Moody, Alabama 35004;33.595745;-86.538395
LIGHTHOUSE BAPTIST CHURCH;2502 MOODY PARKWAY, Moody, Alabama 35004;33.58085;-86.50713
MOODY CHURCH OF CHRIST;617 PARK AVENUE, Moody, Alabama 35004;33.58756;-86.48746
MOODY FREE WILL BAPTIST;1212 PARK AVENUE, Moody, Alabama 35004;33.596366;-86.503239
MOODY PARKWAY CHURCH OF GOD;3046 MOODY PARKWAY, Moody, Alabama 35004;33.59242;-86.49319
MOODY UNITED METHODIST CHURCH;820 CHURCH STREET, Moody, Alabama 35004;33.59405;-86.49644
MOUNT OLIVE BAPTIST CHURCH;ACTON ROAD, Moody, Alabama 35004;33.61061;-86.49893
NEW LIFE FREE WILL BAPTIST CHURCH;1212 PARK AVENUE, Moody, Alabama 35004;33.596366;-86.503239
PEACEFUL VALLEY BAPTIST CHURCH;943 KERR ROAD, Moody, Alabama 35004;33.60482;-86.45569
PRESCOTT BAPTIST CHURCH;20 TURTLE ROCK ROAD, Moody, Alabama 35004;33.574456;-86.45227
WHITE'S CHAPEL BAPTIST CHURCH;3019 WHITES CHAPEL PARKWAY, Moody, Alabama 35004;33.599624;-86.537958
ADAMSVILLE ASSEMBLY OF GOD;2440 MINOR PARKWAY, Adamsville, Alabama 35005;33.57687;-86.93235
ADAMSVILLE BAPTIST CHURCH;5101 ADAMS AVENUE, Adamsville, Alabama 35005;33.60124;-86.95859
ADAMSVILLE CHURCH OF CHRIST;4207 ADAMSVILLE PKY, Adamsville, Alabama 35005;33.59556;-86.94177
ADAMSVILLE CHURCH OF GOD;3601 MAIN STREET, Adamsville, Alabama 35005;33.586805;-86.93695
ADAMSVILLE FIRST CHURCH OF GOD;5501 BLOSSBURG ROAD, Adamsville, Alabama 35005;33.603665;-86.956045
BAYVIEW BAPTIST CHURCH;310 WEST COURT, Adamsville, Alabama 35005;33.562205;-86.968815
BAYVIEW CHURCH OF GOD;107 BAYVIEW DRIVE, Adamsville, Alabama 35005;33.556215;-86.973205
CHAPEL HILL BAPTIST CHURCH;3085 WOODRUFF MILL, Adamsville, Alabama 35005;33.60156;-87.00598
EPISCOPAL HOLINESS CHURCH;4622 MAIN STREET, Adamsville, Alabama 35005;33.598874;-86.951664
FAITH FREEWILL BAPTIST CHURCH;1150 HILLCREST ROAD, Adamsville, Alabama 35005;33.60085;-86.92583
FIRST BAPTIST CHURCH;108 CHURCH STREET, Adamsville, Alabama 35005;33.60236;-86.95384
FIRST BAPTIST CHURCH;1280 UNION GROVE ROAD, Adamsville, Alabama 35005;33.596535;-86.985755
FIRST SEVENTH-DAY ADVENTIST CHURCH;4205 MAIN STREET, Adamsville, Alabama 35005;33.594065;-86.946295
GODS FAITH CHAPEL;1280 UNION GROVE ROAD, Adamsville, Alabama 35005;33.596535;-86.985755
GREATER TEMPLE FULL GOSPEL CHURCH;4800 HAZELWOOD ROAD, Adamsville, Alabama 35005;33.59339;-86.96138
JERUSELEM BAPTIST CHURCH;6462 OAKDALE ROAD, Adamsville, Alabama 35005;33.62285;-87.05583
MIDWAY UNITED METHODIST CHURCH;3904 OAKWOOD DRIVE, Adamsville, Alabama 35005;33.58974;-86.94251
MOUNT CAMEL CME CHURCH;104 ALLEN STREET, Adamsville, Alabama 35005;33.60173;-86.95329
MOUNT OLIVE BAPTIST CHURCH;3498 HONEYCUTT ROAD, Adamsville, Alabama 35005;33.609995;-86.952985
MOUNT ZION BAPTIST CHURCH;4518 OLD JASPER HIGHWAY, Adamsville, Alabama 35005;33.59965;-86.94947
MOUNTAIN STREET CHURCH OF GOD;200 MOUNTAIN STREET, Adamsville, Alabama 35005;33.60162;-86.95933
NEW LIFE DELIVERANCE CENTER;3925 MIDWAY ROAD, Adamsville, Alabama 35005;33.58901;-86.945455
SAINT PATRICK CHURCH;301 SHAMROCK TRAIL, Adamsville, Alabama 35005;33.58108;-86.92896
SAINT PATRICK FAMILY LIFE CENTER;301 SHAMROCK TRAIL, Adamsville, Alabama 35005;33.58108;-86.92896
SAINT PAUL AME CHURCH;4229 SCHOOL ROAD, Adamsville, Alabama 35005;33.59436;-86.94739
TRINITY BAPTIST CHURCH;HIGHWAY 78 WEST, Adamsville, Alabama 35005;33.59403;-86.93931
UNION GROVE UNITED METHODIST;1104 UNION GROVE ROAD, Adamsville, Alabama 35005;33.59827;-86.97726
VICTORIOUS LIFE MINISTRIES;305 CIRCLE DRIVE, Adamsville, Alabama 35005;33.55917;-86.93053
VICTORY CHRISTIAN FELLOWSHIP;2440 MINOR PARKWAY, Adamsville, Alabama 35005;33.57687;-86.93235
WEST POINT BAPTIST CHURCH;3990 VERTERNS MEMORIAL DRIVE, Adamsville, Alabama 35005;33.58666;-86.93215
WILLIAMSBURG BAPTIST CHURCH;3691 PORTER ROAD, Adamsville, Alabama 35005;33.61379;-87.05109
WOODLAND WEST BAPTIST CHURCH;3717 OLD JASPER HIGHWAY, Adamsville, Alabama 35005;33.59157;-86.93736
ADGER BAPTIST CHURCH;4605 ADGER CHURCH, Adger, Alabama 35006;33.37573;-87.093575
ADGER CHURCH OF GOD;5904 MUD CREEK ROAD, Adger, Alabama 35006;33.37745;-87.09157
BIBLE BAPTIST CHURCH;10793 LOCK 17 ROAD, Adger, Alabama 35006;33.4424;-87.20859
BIBLE COMES TO LIFE CHURCH;7258 JOHNS ROAD, Adger, Alabama 35006;33.38005;-87.08671
BIG CREEK BAPTIST CHURCH;11073 CAMP OLIVER, Adger, Alabama 35006;33.4933;-87.214965
DOGWOOD GROVE BAPTIST CHURCH;8736 DOGWOOD GROVE, Adger, Alabama 35006;33.36575;-87.135555
EBENEZER MISSIONARY BAPTIST CHURCH;5700 BELLE SUMPTER ROAD, Adger, Alabama 35006;33.35625;-87.126135
HOLINESS DELIVERANCE TABERNACLE;7620 MAIN STREET, Adger, Alabama 35006;33.369975;-87.097285
JOHNS BAPTIST CHURCH;7852 CHURCH STREET, Adger, Alabama 35006;33.36573;-87.105795
LIBERTY BAPTIST CHURCH;4048 ETHRIDGE ROAD, Adger, Alabama 35006;33.39703;-87.23441
MOUNT HERMAN BAPTIST CHURCH;MOUNT HERMAN CHURCH ROAD, Adger, Alabama 35006;33.377665;-87.09862
NEW BETHLEHEM BAPTIST CHURCH;7500 BETHLEHAM STREET, Adger, Alabama 35006;33.36629;-87.09503
NEW HOPE INDEPENDENT CHURCH;4636 JOHNS CUTOFF, ADGER, AL|, Adger, Alabama 35006;33.37497;-87.10518
OAK GROVE MISSIONARY BAPTIST CHURCH;, Adger, Alabama 35006;33.377056;-87.093607
PINE GROVE UNITED METHODIST CHURCH;11263 CAMP OLIVER ROAD, Adger, Alabama 35006;33.5028;-87.22066
RIVER OF LIFE;89 SHORES CAMP ROAD, Adger, Alabama 35006;33.52365;-87.23183
Juneau Unitarain Universalist Fellowship;PO box 64, Juneau, Juneau, Alaska 90802;58.30195;-134.419734
