name;addr
Historic Baptist Church;North Kingstown,RI,02852
Adelphi Calvary Baptist Church;Runnells,IA,50237
Agape Baptist Church;Stockton,MO,65785
Ahava Baptist Church;Plant City,FL,33567
Albemarle Baptist Church;Charlottesville,VA,22901
Aliquippa Baptist Temple;Aliquippa,PA,15001
Fellowship Baptist Church;Baden,PA,15005
Altoona Regular Baptist Church;Altoona,IA,50009
Amazing Grace Baptist Church;Kansas City,KS,66103
Amazing Grace Baptist Church;St Charles,MO,63303
Ambassador Baptist Church;Pittsburgh,PA,15209
Ambassador Baptist Church;Sparta,WI,54656
Andalusia Community Baptist Church;Andalusia,IL,61232
Northlight Baptist Church;Pendleton,IN,46064
Antioch Baptist Church;Belleville,MI,48111
Antioch Baptist Church;Rochester,IN,46975
Bible Baptist Church;Fairbanks,AK,99701
Averyville Baptist Church;East Peoria,IL,61611
Bailey's Grove Baptist Church;Asheboro,NC,27203
Baileyville Baptist Church;Baileyville,IL,61007
Baptist Temple of Franklin;Franklin,PA,16323
Baptist Temple;Grand Prairie,TX,75051
Triumph Baptist Church;Fort Worth,TX,76110
Bath Baptist Church;Bath,MI,48808
Bay View Baptist Church;Washington,IL,61571
Beecher Fellowship Baptist Church;Beecher,IL,60401
Beeville Baptist Church;Beeville,TX,78102
Bella Vista Baptist Church;Albuquerque,NM,87110
Berean Baptist Church;Adrian,MI,49221
Berean Baptist Church;Beloit,WI,53511
Berean Baptist Church;Boone,IA,50036
Berean Baptist Church;Livonia,MI,48152
Berean Baptist Church;Ocala,FL,34474
Berean Baptist Church;Rockford,IL,61101
Berean Bible Baptist Church;South Lyon,MI,48178
Berkshire Hills Baptist Church;Lee,MA,01238
Beth Haven Baptist Church;Sheridan,MI,48884
Bethany Baptist Church;Deptford,NJ,08096
Bethany Independent Baptist Church;Courtland,MS,38620
Bethel Baptist Church;Cary,NC,27511
Bethel Baptist Church;Jackson,TN,38305
Bethel Baptist Church;Linton,IN,47441
Bethel Baptist Church;Manistique,MI,49854
Bethel Baptist Church;Pekin,IL,61554
Bethel Baptist Church;Philadelphia,PA,19125
Bethel Baptist Church;Rockwall,TX,75087
Bethel Baptist Church;Schaumburg,IL,60194
Bethel Baptist Church;Spanaway,WA,98387
Bethel Baptist Church;Walls,MS,38680
Hampton Road Baptist Church;Fairmont,WV,26554
Bible Baptist Church;Beaver Dam,KY,42320
Bible Baptist Church;Belvidere,IL,61008
Bible Baptist Church;,NC,28425
Bible Baptist Church;Byesville,OH,43723
Bible Baptist Church;Carnegie,PA,15106
Bible Baptist Church;Cedar Rapids,IA,52402
Bible Baptist Church;Central Lake,MI,49622
Kalamazoo Baptist Church;Kalamazoo,MI,49006
Bible Baptist Church;Charlevoix,MI,49720
Bible Baptist Church;Clarksville,TN,37043
Bible Baptist Church;Clementon,NJ,08021
Bible Baptist Church;Conway,AR,72034
Bible Baptist Church;Dubuque,IA,52001
Bible Baptist Church;El Dorado,AR,71730
Bible Baptist Church;Fort Wayne,IN,46806
Bible Baptist Church;Glenwood,IA,51534
Bible Baptist Church;Hazard,KY,41702
Bible Baptist Church;Highland,IN,46322
Bible Baptist Church;Jacksonville,AR,72076
Bible Baptist Church;Jacksonville,FL,32208
Bible Baptist Church;Jefferson City,MO,65109
Bible Baptist Church;Kahoka,MO,63445
Bible Baptist Church;Latrobe,PA,15650
Bible Baptist Church;Marysville,CA,95901
Bible Baptist Church;Mattoon,IL,61938
Bible Baptist Church;Mercer,PA,16137
Bible Baptist Church;New Franklin,MO,65274
Bible Baptist Church;Ottumwa,IA,52501
Bible Baptist Church;Owosso,MI,48867
Bible Baptist Church;Pampa,TX,79065
Bible Baptist Church;Pensacola,FL,32514
Bible Baptist Church;Portage,IN,46368
Bible Baptist Church;Prairie du Chien,WI,53821
Bible Baptist Church;Radcliff,KY,40160
Bible Baptist Church;Terre Haute,IN,47802
Bible Baptist Church;Uniontown,PA,15401
Bible Baptist Church;York,PA,17404
Bible Baptist Church of Rendon;Fort Worth,TX,76140
Riverside Baptist Church;Saint Joseph,MO,64507
Bible Believers Baptist Church;Billings,MT,59105
Bible Believers Baptist Church;,ID,83254
Bible Way Baptist Church;Milton,FL,32572
Biblical Baptist Church;Beach Park,IL,60087
Big Sky Baptist Church;Hamilton,MT,59840
Birch Street Baptist Church;Eau Claire,WI,54703
Black River Baptist Church;Black River Falls,WI,54615
Blackford Baptist Temple;Hartford City,IN,47348
Blair Ridge Baptist Church;Cedar Rapids,IA,52411
Blessed Hope Baptist Church;Farmington,MO,63640
Blessed Hope Baptist Church;Jasonville,IN,47438
Blessed Hope Baptist Church;Raymond,IL,62560
Blessed Hope Baptist Church;Tahlequah,OK,74464
Blissfield Baptist Church;Blissfield,MI,49228
Blue Springs Baptist Temple;Blue Springs,MO,64014
Bluegrass Pike Church;Danville,KY,40422
Boeke Road Baptist Church;Evansville,IN,47714
Boiling Springs Baptist Church;Murphy,NC,28906
Braintrim Baptist Church;Laceyville,PA,18623
Bristoria Baptist Church;Holbrook,PA,15341
Broadway Baptist Church;Paducah,KY,42001
Brook Hollow Baptist Church;DeSoto,TX,75115
Brooking Heights Baptist Church;Raytown,MO,64133
Brooklyn Heights Baptist Church;Americus,GA,31709
Buchanan Avenue Baptist Church;Sioux City,IA,51106
Burlington Bible Baptist Church;Burlington,KS,66839
Clio Baptist Church;Clio,IA,50052
Calvary Baptist Church;Allison Park,PA,15101
Calvary Baptist Church;Batavia,IA,52533
Calvary Baptist Church;Belleville,IL,62221
Calvary Baptist Church;Gilbertsville,KY,42044
Calvary Baptist Church;Binghamton,NY,13901
Calvary Baptist Church;Butler,PA,16002
Calvary Baptist Church;Campbell,MO,63933
Calvary Baptist Church;Canton,IL,61520
Calvary Baptist Church;,MI,48725
Calvary Baptist Church;Charles City,IA,50616
Calvary Baptist Church;Chattanooga,TN,37415
Calvary Baptist Church;Clinton,IN,47842
Calvary Baptist Church;,MS,38618
Calvary Baptist Church;Crawfordsville,IN,47933
Calvary Baptist Church;Dundee,MI,48131
Calvary Baptist Church;Eufaula,OK,74432
Calvary Baptist Church;Flora,IL,62839
Calvary Baptist Church;Fremont,NE,68025
Calvary Baptist Church;Geneva,IL,60134
Calvary Baptist Church;Grand Island,NE,68803
Calvary Baptist Church;Hollister,CA,95023
Calvary Baptist Church;,MO,65336
Calvary Baptist Church;Laurinburg,NC,28352
Calvary Baptist Church;Marion,IA,52302
Calvary Baptist Church;Memphis,TN,38115
Calvary Baptist Church;Middleburg,FL,32068
Calvary Baptist Church;,PA,15672
Calvary Baptist Church;Normal,IL,61761
Calvary Baptist Church;Palestine,TX,75801
Calvary Baptist Church;Platteville,WI,53818
Calvary Baptist Church;Randleman,NC,27317
Calvary Baptist Church;Spotsylvania,VA,22551
Calvary Baptist Church;Tinley Park,IL,60487
Calvary Baptist Church;Turner,ME,04282
Calvary Baptist Church;Union Grove,NC,28689
Calvary Baptist Church;Uniontown,PA,15401
Calvary Baptist Church;Walnut,IA,51577
Calvary Baptist Church;Waterloo,IA,50703
Calvary Baptist Church;Waukon,IA,52172
Calvary Bible Baptist Church;Marion,OH,43302
Calvary Fellowship Chapel;Mercer,PA,16137
Cambellsville Baptist Temple;Campbellsville,KY,42718
Canaan Baptist Church;Gainesville,GA,30506
Capeway Baptist Church;Plymouth,MA,02360
Capitol City Baptist Church;Austin,TX,78745
Capitol City Baptist Church;Des Moines,IA,50313
Capitol Heights Missionary Baptist Church;Holdenville,OK,74848
Carmel Baptist Church;Saegertown,PA,16433
Cathedral Baptist Church;Rockford,IL,61109
Cedar Crest Independent Baptist Church;Mount Union,PA,17066
Cedar Heights Baptist Church;Cedar Falls,IA,50613
Cedar Street Baptist Church;Tipton,IA,52772
Celina Baptist Temple;,OH,45822
Central Baptist Church;,TX,76009
Central Baptist Church;Amarillo,TX,79110
Central Baptist Church;Ankeny,IA,50023
Central Baptist Church;Baltimore,MD,21221
Central Baptist Church;Baton Rouge,LA,70819
Central Baptist Church;Center,TX,75935
Central Baptist Church;Decatur,IL,62521
Central Baptist Church;Granite City,IL,62040
Central Baptist Church;Greeneville,TN,37743
Central Baptist Church;Hattiesburg,MS,39401
Central Baptist Church;Jefferson City,MO,65101
Central Baptist Church;Moline,IL,61265
Central Baptist Church;Patterson,LA,70392
Central Baptist Church;Saint Petersburg,FL,33713
Central Calvary Baptist Church;West Plains,MO,65775
Central Korean Baptist Church;Paterson,NJ,07501
Trident Baptist Church;Goose Creek,SC,29445
Charity Baptist Church;Cantonment,FL,32533
Cheshire Hills Baptist Church;Allegan,MI,49010
Lighthouse Baptist Church;Cheyenne,WY,82007
Chili Bible Baptist Church;Rochester,NY,14624
Christ First Church;Minooka,IL,60447
Clays Mill Road Baptist Church;Nicholasville,KY,40356
Clearview Baptist Church;Heber Springs,AR,72543
Cleveland Baptist Church;Cleveland,OH,44144
Collins Hill Baptist Church;Lawrenceville,GA,30043
Colonial Baptist Church;Galesburg,IL,61401
Colonial Baptist Church;Rogers,AR,72756
Colonial Hills Baptist Church;Bedford,PA,15522
Columbus Baptist Church;Columbus,IN,47201
Community Baptist Church;Sault Sainte Marie,MI,49783
Community Baptist Temple;Akron,OH,44306
Colquitt County Baptist Church;Moultrie,GA,31776
Grace Baptist Church;Colorado Springs,CO,80907
Cornerstone Baptist Church;Denver,CO,80219
Cornerstone Baptist Church;,NC,28086
Cornerstone Baptist Church;Manchester,NH,03102
Cornerstone Baptist Church;Mount Pleasant,AR,72561
Cornerstone Baptist Church;Ortonville,MI,48462
Cornerstone Baptist Church;Richmond,VA,23234
Cornerstone Baptist Church;Stratham,NH,03885
Cornerstone Baptist Church;Vinton,IA,52349
Corry Baptist Church;Corry,PA,16407
Granite Baptist Church;Glen Burnie,MD,21061
Covenant Baptist Church;Kansas City,KS,66109
Crisswell Bible Baptist Church;Karns City,PA,16041
CrossRoad Baptist Church;Ames,IA,50010
Crossroads Baptist Church;Allentown,PA,18103
Crossroads Baptist Church;Bristol,TN,37620
Crossroads Baptist Church;Dothan,AL,36303
Crossroads Baptist Church;Gainesville,TX,76240
Crossroads Baptist Church;Hephzibah,GA,30815
Crossroads Baptist Church;Peoria,IL,61615
Crossroads Independent Baptist Church;Davenport,IA,52807
Cumberland Street Baptist Church;Dunn,NC,28334
Danvers Baptist Church;,IL,61732
Delaware County Baptist Church;Havertown,PA,19083
Delhi Baptist Church;Jerseyville,IL,62052
Devonshire Baptist Church;Charlotte,NC,28215
Dover Baptist Temple;Dover,OH,44622
Dupont Baptist Church;,IN,47231
Eagle Heights Baptist Church;Kansas City,MO,64119
East Park Baptist Church;Decatur,IL,62521
East Valley Baptist Church;Tempe,AZ,85284
Eastern Hills Baptist Church;Council Bluffs,IA,51503
Eastern Shore Baptist Church;Grasonville,MD,21638
Eastman Baptist Temple;Eastman,GA,31023
Easton Baptist Church;Des Moines,IA,50317
Eastside Baptist Church;Marion,NC,28752
Eastside Baptist Church;Sioux Falls,SD,57110
Eastwood Baptist Church;Murray,KY,42071
El Vista Baptist Church;Peoria,IL,61615
Elm Street Baptist Church;East Prairie,MO,63845
Elwood Bible Baptist Church;Elwood,IN,46036
Emmanuel Baptist Church;Casper,WY,82601
Emmanuel Baptist Church;Des Moines,IA,50315
Emmanuel Baptist Church;Eden,NC,27288
Emmanuel Baptist Church;Elizabeth City,NC,27909
Emmanuel Baptist Church;Grand Rapids,MI,49504
Emmanuel Baptist Church;Leavenworth,KS,66048
Emmanuel Baptist Church;Mineral,VA,23117
Emmanuel Baptist Church;Valparaiso,IN,46385
Emmanuel Baptist Temple;Hagerstown,MD,21740
Emmorton Baptist Church;Bel Air,MD,21015
Evangel Baptist Church;Taylor,MI,48180
Evergreen Baptist Church;Trail Creek,IN,46360
Fairview Baptist Church;Great Falls,MT,59405
Fairview Baptist Church;Kansas City,KS,66112
New Life Baptist Church;Ponchatoula,LA,70454
Faith Baptist Church;Round Lake Beach,IL,60073
Faith Baptist Church;Albert Lea,MN,56007
Faith Baptist Church;Belle Plaine,IA,52208
Faith Baptist Church;Berne,IN,46711
Faith Baptist Church;Bourbonnais,IL,60914
Faith Baptist Church;Bozeman,MT,59772
Faith Baptist Church;Brandon,FL,33510
Faith Baptist Church;Brown City,MI,48416
Faith Baptist Church;Cadillac,MI,49601
Faith Baptist Church;Charlotte,NC,28227
Faith Baptist Church;Columbia,MO,65202
Faith Baptist Church;Danville,IL,61832
Faith Baptist Church;Dekalb,IL,60115
Faith Baptist Church;Elizabeth City,NC,27909
Faith Baptist Church;Emporia,VA,23847
Faith Baptist Church;Fairless Hills,PA,19030
Faith Baptist Church;Florence,MA,01062
Faith Baptist Church;Franklin,KY,42134
