name;addr;attend;denom
Beulah Alliance Church;Edmonton, AB;2400;CMA
Centre Street Church;Calgary, AB;7000;EVAN
Sherwood Park Alliance Church;Sherwood Park, AB;2000;CMA
Crossroads Church;Red Deer County, AB;2000;UNK
First Alliance Church;Calgary, AB;3000;CMA
Anchorage Baptist Temple;Anchorage, AK;2200;BAPT
ChangePoint;Anchorage, AK;3300;NONDENOM
Word Alive International Outreach;Oxford, AL;3300;NONDENOM
Oakwood College Church;Huntsville, AL;2000;SDA
Daystar Family Church;Northport, AL;2200;NONDENOM
The Rock Family Worship Center;Huntsville, AL;2500;NONDENOM
The Church at Brook Hills;Birmingham, AL;4500;SBC
First Baptist Church;Prattville, AL;2500;SBC
Ridgecrest Baptist Church;Dothan, AL;2500;SBC
Willowbrook Baptist Church;Huntsville, AL;2900;SBC
Mayfair Church of Christ;Huntsville, AL;1800;COC
Sixth Avenue Baptist Church;Birmingham, AL;2000;BAPT
Metro Church of God;Birmingham, AL;2000;COG
Frazer United Methodist Church;Montgomery, AL;3704;UMC
Hunter Street Baptist Church;Hoover, AL;3320;SBC
Daystar Church;Cullman, AL;2000;COG
Faith Chapel Christian Center;Birmingham, AL;3000;UNK
More Than Conquerors Faith Church;Birmingham, AL;3000;UNK
Christ United Methodist Church;Mobile, AL;2095;UMC
Whitesburg Baptist Church;Huntsville, AL;2500;SBC
Union Chapel MB Church;Huntsville, AL;2000;BAPT
Mountaintop Community Church;Birmingham, AL;2000;NONDENOM
Calvary Assembly;Decatur, AL;2200;AG
Lindsay Lane Baptist Church;Athens, AL;1800;SBC
Briarwood Presbyterian Church;Birmingham, AL;3800;PCA
The Worship Center Christian Church;Birmingham, AL;2000;NONDENOM
Epicchurch.Tv;Decatur, AL;2081;NONDENOM
Shades Mountain Baptist Church;Birmingham, AL;2756;SBC
First Baptist Church;Tuscaloosa, AL;3000;SBC
New Hope Baptist Church;Birmingham, AL;3000;BAPT
First Baptist Church;Montgomery, AL;2500;SBC
First Baptist Church Opelika;Opelika, AL;2443;SBC
Harvest Church of God;Anniston, AL;2000;COG
Asbury United Methodist Church;Madison, AL;2500;UMC
Kingwood Church;Alabaster, AL;2000;AG
Gardendale First Baptist Church;Gardendale, AL;3530;SBC
Dawson Memorial Baptist Church;Birmingham, AL;2700;SBC
Church of the Highlands;Birmingham, AL;22184;NONDENOM
Fellowship Northwest Arkansas;Rogers, AR;7100;UNK
Central Baptist Church;Jonesboro, AR;2604;SBC
First Baptist Church;Bentonville, AR;2200;SBC
Family Church;Pine Bluff, AR;2000;NONDENOM
Central Baptist Church;Marked Tree, AR;2300;SBC
Immanuel Baptist Church;Little Rock, AR;2500;BAPT
Cross Church;Springdale, AR;8808;SBC
Fellowship Bible Church;Benton, AR;6000;NONDENOM
Geyer Springs First Baptist Church;Little Rock, AR;2500;SBC
Downtown Church of Christ;Searcy, AR;2000;COC
Brand New Church;Harrison, AR;3000;UNK
Fellowship Bible Church;Little Rock, AR;4000;NONDENOM
Saint Mark Baptist Church;Little Rock, AR;3000;UNK
First Assembly of God;North Little Rock, AR;3270;AG
Church at Rock Creek;Little Rock, AR;2000;NONDENOM
New Life Church;Conway, AR;8205;UNK
First Baptist Church;Jonesboro, AR;3000;SBC
Harvest Time;Fort Smith, AR;2200;NONDENOM
Mission Community Church;Gilbert, AZ;6195;UNK
Casas Church;Tucson, AZ;2100;SBC
The River of Life Church;Phoenix, AZ;3500;UNK
Grace Community Church;Tempe, AZ;1800;NONDENOM
Community Church of Joy;Glendale, AZ;2050;LUTH
Church for the Nations;Phoenix, AZ;2400;NONDENOM
Central Christian Church;Mesa, AZ;8786;CHRISTIAN
Victory Assembly;Tucson, AZ;5000;AG
North Scottsdale Christian;Scottsdale, AZ;1700;AG
Sun Valley Community Church;Gilbert, AZ;5500;NONDENOM
Chandler Christian Church;Chandler, AZ;2530;CHRISTIAN
Palmcroft Baptist Church;Phoenix, AZ;2000;CBA
Living Streams Church;Phoenix, AZ;2000;UNK
North Phoenix Baptist Church;Phoenix, AZ;2350;SBC
Christ's Church of the Valley;Peoria, AZ;23395;CHRISTIAN
Radiant Church;Surprise, AZ;6359;AG
Highlands Church;Scottsdale, AZ;3500;NONDENOM
Love International Ministries;Phoenix, AZ;4200;NONDENOM
Calvary Tucson;Tucson, AZ;5000;NONDENOM
Pilgrim Rest Baptist Church;Phoenix, AZ;2200;BAPT
Phoenix First Assembly of God;Phoenix, AZ;21000;AG
Calvary Community Church;Phoenix, AZ;12000;CAL
Palm Valley Community Church;Litchfield Park, AZ;2500;NONDENOM
The Living Word Bible Church;Mesa, AZ;4427;UNK
Christ Community Church;Tucson, AZ;2200;NONDENOM
The Heights Church;Prescott, AZ;3000;CBA
Cornerstone Christian Fellowship;Chandler, AZ;6000;NONDENOM
Kingdom in the Valley Christian Church;Litchfield Park, AZ;3300;CHRISTIAN
City of Grace;Mesa, AZ;4500;NONDENOM
Scottsdale Bible Church;Scottsdale, AZ;6234;NONDENOM
Pantano Christian Church;Tucson, AZ;2455;CHRISTIAN
Redemption Church;Tempe, AZ;4500;NONDENOM
Vineyard Christian Fellowship of North Phoenix;Glendale, AZ;4100;VINE
Northwest Community Church;Phoenix, AZ;2500;NONDENOM
Calvary Chapel of Prescott;Prescott, AZ;2000;CAL
Faith Community Church;Tucson, AZ;2500;NONDENOM
Spring of Life Christian Church;Mesa, AZ;2100;UNK
La Casa de Cristo Lutheran Church;Scottsdale, AZ;2000;LUTH
Trinity Baptist Church;Kelowna, BC;2200;ABC
Willingdon Church;Burnaby, BC;5000;MEN
Broadway Church;Vancouver, BC;2100;UNK
Willow Park Church;Kelowna, BC;2000;MEN
Northview Community Church;Abbotsford, BC;2700;MEN
Bayside Church;Granite Bay, CA;11327;EC
Crossroads Church;Grass Valley, CA;2500;UNK
Golden Hills Community Church;Brentwood, CA;4000;BGC
Saddleback Church;Lake Forest, CA;22055;SBC
Allen Temple Baptist Church;Oakland, CA;5500;PNB
Rock of Roseville;Roseville, CA;2000;UNK
Family Community Church;San Jose, CA;3365;AG
The Rock Church and World Outreach Center;San Bernardino, CA;14550;NONDENOM
Reality;Carpinteria, CA;3000;NONDENOM
The Bridge Bible Church;Bakersfield, CA;2100;NONDENOM
Cornerstone Church of San Diego;National City, CA;6300;UNK
Saint Paul Baptist Church;Sacramento, CA;2000;SBC
Crenshaw Christian Center;Los Angeles, CA;3000;COGA
Berendo Street Baptist Church;Los Angeles, CA;2000;BAPT
WestGate Church;San Jose, CA;2100;UNK
NewSong Church;Irvine, CA;2000;EC
Faith Fellowship Foursquare Church;San Leandro, CA;2000;4SQ
Abundant Living Family Church;Rancho Cucamonga, CA;4000;NONDENOM
Victory Outreach Church;La Puente, CA;2000;UNK
Eastside Christian Church;Anaheim, CA;4345;CHRISTIAN
Rancho Community Church;Temecula, CA;2500;RCA
The Rock Church of Sacramento;Elk Grove, CA;2000;PENT
Whittier Area Community Church;Whittier, CA;3000;BGC
Mariners Church;Irvine, CA;13567;NONDENOM
Harvest Church;Elk Grove, CA;2200;AG
Iglesia Cristiana La Familia de Dios;Ontario, CA;1800;BAPT
Ward African Methodist Episcopal Church;Los Angeles, CA;8000;AME
Valley Christian Center Church;Fresno, CA;1800;4SQ
Agape International Center for Truth;Culver City, CA;2500;RELSCI
Templo Calvario Assembly of God;Santa Ana, CA;11000;AG
Crystal Cathedral;Garden Grove, CA;2000;RCA
Bel Air Presbyterian Church;Los Angeles, CA;2394;PCUSA
Christian Life Center;Stockton, CA;2600;UPCI
Neighborhood Church/Three Crosses;Castro Valley, CA;2500;NONDENOM
Calvary Chapel;Santa Barbara, CA;2200;CAL
Calvary Chapel South Bay;Gardena, CA;9200;CAL
CrossPoint Community Church;Modesto, CA;2000;BAPT
Sarang Community Church;Anaheim, CA;8000;PCA
Calvary Murietta;Murietta, CA;2000;CAL
Paradise Alliance Church;Paradise, CA;2100;CMA
Seacoast Grace Church;Cypress, CA;3290;NONDENOM
Rolling Hills Christian Church;El Dorado Hills, CA;2103;CHRISTIAN
Abundant Life Christian Fellowship;Mountain View, CA;4500;COGA
All Nations Church;Lakeview Terrace, CA;2000;UNK
Healing Word;Tustin, CA;3500;NONDENOM
Morningstar Christian Chapel;Whittier, CA;3000;NONDENOM
Glide Memorial United Methodist Church;San Francisco, CA;3000;UMC
Calvary Community Church;Westlake Village, CA;3200;CAL
Calvary Bible Fellowship;Temecula, CA;2500;NONDENOM
Hope Point;Yuba City, CA;2270;NAZ
Journey Community Church;La Mesa, CA;2300;NONDENOM
Venture Christian Church;Los Gatos, CA;3600;NONDENOM
