,name,addr,attend,denom,lat,lon
0,Beulah Alliance Church,Edmonton, AB,2400,CMA,53.535411,-113.507996
1,Centre Street Church,Calgary, AB,7000,EVAN,51.046095,-114.065465
2,Sherwood Park Alliance Church,Sherwood Park, AB,2000,CMA,53.525696,-113.296631
3,Crossroads Church,Red Deer County, AB,2000,UNK,52.114167,-113.766111
4,First Alliance Church,Calgary, AB,3000,CMA,51.046095,-114.065465
5,Anchorage Baptist Temple,Anchorage, AK,2200,BAPT,61.216313,-149.894852
6,ChangePoint,Anchorage, AK,3300,NONDENOM,61.216313,-149.894852
7,Word Alive International Outreach,Oxford, AL,3300,NONDENOM,33.614921,-85.833939
8,Oakwood College Church,Huntsville, AL,2000,SDA,34.729847,-86.585901
9,Daystar Family Church,Northport, AL,2200,NONDENOM,33.229298,-87.577129
10,The Rock Family Worship Center,Huntsville, AL,2500,NONDENOM,34.729847,-86.585901
11,The Church at Brook Hills,Birmingham, AL,4500,SBC,33.520682,-86.802433
12,First Baptist Church,Prattville, AL,2500,SBC,32.464025,-86.459697
13,Ridgecrest Baptist Church,Dothan, AL,2500,SBC,31.223743,-85.393391
14,Willowbrook Baptist Church,Huntsville, AL,2900,SBC,34.729847,-86.585901
15,Mayfair Church of Christ,Huntsville, AL,1800,COC,34.729847,-86.585901
16,Sixth Avenue Baptist Church,Birmingham, AL,2000,BAPT,33.520682,-86.802433
17,Metro Church of God,Birmingham, AL,2000,COG,33.520682,-86.802433
18,Frazer United Methodist Church,Montgomery, AL,3704,UMC,32.366966,-86.300649
19,Hunter Street Baptist Church,Hoover, AL,3320,SBC,33.384893,-86.807048
20,Daystar Church,Cullman, AL,2000,COG,34.174841,-86.84358
21,Faith Chapel Christian Center,Birmingham, AL,3000,UNK,33.520682,-86.802433
22,More Than Conquerors Faith Church,Birmingham, AL,3000,UNK,33.520682,-86.802433
23,Christ United Methodist Church,Mobile, AL,2095,UMC,30.694357,-88.043054
24,Whitesburg Baptist Church,Huntsville, AL,2500,SBC,34.729847,-86.585901
25,Union Chapel MB Church,Huntsville, AL,2000,BAPT,34.729847,-86.585901
26,Mountaintop Community Church,Birmingham, AL,2000,NONDENOM,33.520682,-86.802433
27,Calvary Assembly,Decatur, AL,2200,AG,34.60602,-86.983817
28,Lindsay Lane Baptist Church,Athens, AL,1800,SBC,34.804549,-86.97117
29,Briarwood Presbyterian Church,Birmingham, AL,3800,PCA,33.520682,-86.802433
30,The Worship Center Christian Church,Birmingham, AL,2000,NONDENOM,33.520682,-86.802433
31,Epicchurch.Tv,Decatur, AL,2081,NONDENOM,34.60602,-86.983817
32,Shades Mountain Baptist Church,Birmingham, AL,2756,SBC,33.520682,-86.802433
33,First Baptist Church,Tuscaloosa, AL,3000,SBC,33.209561,-87.567526
34,New Hope Baptist Church,Birmingham, AL,3000,BAPT,33.520682,-86.802433
35,First Baptist Church,Montgomery, AL,2500,SBC,32.366966,-86.300649
36,First Baptist Church Opelika,Opelika, AL,2443,SBC,32.645412,-85.37828
37,Harvest Church of God,Anniston, AL,2000,COG,33.659442,-85.831633
38,Asbury United Methodist Church,Madison, AL,2500,UMC,34.692873,-86.751143
39,Kingwood Church,Alabaster, AL,2000,AG,33.244281,-86.816377
40,Gardendale First Baptist Church,Gardendale, AL,3530,SBC,33.660103,-86.81277
41,Dawson Memorial Baptist Church,Birmingham, AL,2700,SBC,33.520682,-86.802433
42,Church of the Highlands,Birmingham, AL,22184,NONDENOM,33.520682,-86.802433
43,Fellowship Northwest Arkansas,Rogers, AR,7100,UNK,36.33202,-94.118537
44,Central Baptist Church,Jonesboro, AR,2604,SBC,35.842865,-90.703452
45,First Baptist Church,Bentonville, AR,2200,SBC,36.372854,-94.208817
46,Family Church,Pine Bluff, AR,2000,NONDENOM,34.215706,-92.01404
47,Central Baptist Church,Marked Tree, AR,2300,SBC,35.532859,-90.420658
48,Immanuel Baptist Church,Little Rock, AR,2500,BAPT,34.746481,-92.289595
49,Cross Church,Springdale, AR,8808,SBC,36.186744,-94.128814
50,Fellowship Bible Church,Benton, AR,6000,NONDENOM,34.564537,-92.586828
51,Geyer Springs First Baptist Church,Little Rock, AR,2500,SBC,34.746481,-92.289595
52,Downtown Church of Christ,Searcy, AR,2000,COC,35.250641,-91.736249
53,Brand New Church,Harrison, AR,3000,UNK,36.229794,-93.107677
54,Fellowship Bible Church,Little Rock, AR,4000,NONDENOM,34.746481,-92.289595
55,Saint Mark Baptist Church,Little Rock, AR,3000,UNK,34.746481,-92.289595
56,First Assembly of God,North Little Rock, AR,3270,AG,34.769536,-92.267094
57,Church at Rock Creek,Little Rock, AR,2000,NONDENOM,34.746481,-92.289595
58,New Life Church,Conway, AR,8205,UNK,35.088696,-92.442101
59,First Baptist Church,Jonesboro, AR,3000,SBC,35.842865,-90.703452
60,Harvest Time,Fort Smith, AR,2200,NONDENOM,35.387222,-94.424898
61,Mission Community Church,Gilbert, AZ,6195,UNK,33.352763,-111.789037
62,Casas Church,Tucson, AZ,2100,SBC,32.222877,-110.974848
63,The River of Life Church,Phoenix, AZ,3500,UNK,33.448437,-112.074142
64,Grace Community Church,Tempe, AZ,1800,NONDENOM,33.425506,-111.940009
65,Community Church of Joy,Glendale, AZ,2050,LUTH,33.538686,-112.185994
66,Church for the Nations,Phoenix, AZ,2400,NONDENOM,33.448437,-112.074142
67,Central Christian Church,Mesa, AZ,8786,CHRISTIAN,33.415112,-111.831479
68,Victory Assembly,Tucson, AZ,5000,AG,32.222877,-110.974848
69,North Scottsdale Christian,Scottsdale, AZ,1700,AG,33.494219,-111.926018
70,Sun Valley Community Church,Gilbert, AZ,5500,NONDENOM,33.352763,-111.789037
71,Chandler Christian Church,Chandler, AZ,2530,CHRISTIAN,33.306161,-111.84125
72,Palmcroft Baptist Church,Phoenix, AZ,2000,CBA,33.448437,-112.074142
73,Living Streams Church,Phoenix, AZ,2000,UNK,33.448437,-112.074142
74,North Phoenix Baptist Church,Phoenix, AZ,2350,SBC,33.448437,-112.074142
75,Christ's Church of the Valley,Peoria, AZ,23395,CHRISTIAN,33.580612,-112.237294
76,Radiant Church,Surprise, AZ,6359,AG,33.629227,-112.368019
77,Highlands Church,Scottsdale, AZ,3500,NONDENOM,33.494219,-111.926018
78,Love International Ministries,Phoenix, AZ,4200,NONDENOM,33.448437,-112.074142
79,Calvary Tucson,Tucson, AZ,5000,NONDENOM,32.222877,-110.974848
80,Pilgrim Rest Baptist Church,Phoenix, AZ,2200,BAPT,33.448437,-112.074142
81,Phoenix First Assembly of God,Phoenix, AZ,21000,AG,33.448437,-112.074142
