name;addr;attend;denom
Abundant Life Baptist Church;Lees Summit, MO;4,500;Southern Baptist Convention
Abundant Life Christian Fellowship[7];Mountain View, CA;4,500;Church of God (Anderson, Indiana)
Abundant Life Christian Center[8];La Marque, TX;3,000;Nondenominational / Evangelical Christian
Abundant Life Church;Denham Springs, LA;2,000;Non-denominational
Abundant Living Faith Center;El Paso, TX;12,400;Non-denominational
Acts Full Gospel Church;Oakland, CA;6,000;Church of God in Christ
Ada Bible Church;Ada, MI;10,000;Non-denominational
All Saints Episcopal Church;Pasadena, CA;2,300;Episcopal Church (United States)
All Souls Unitarian Church;Tulsa, OK;2,167;Unitarian Universalist Association
Angelus Temple;Los Angeles, CA;8,300;Foursquare Church
Antioch Community Church;Waco, TX;4-5,000;Non-denominational
Antioch Missionary Baptist Church;Miami Gardens, FL;7,000;Baptist
Apostolic Church of God;Chicago, IL;6,500;Pentecostal Assemblies of the World
Apostolic Faith Church;Chicago, IL;2,000;Pentecostal Assemblies of the World
Bay Area Christian Church[9];Palo Alto, CA;3,600;Christian churches and churches of Christ
Bayside Community Church;Bradenton, FL;12,000;Non-denominational
Bayou City Fellowship;Houston, TX;3,000;Southern Baptist Convention
Beaverton Foursquare Church;Beaverton, OR;5,600;Foursquare Church
Bellevue Baptist Church[10];Memphis, TN;7,138;Southern Baptist Convention
Bell shoals baptist church[11];Brandon, FL;3,000;Southern Baptist Convention
Beltway Park Baptist Church[12][13];Abilene, TX;2,700;Non-denominational
Bethany Baptist Church;Lindenwold, NJ;6,000;Non-denominational
Bethany First Church of the Nazarene[14][15];Bethany, OK;2,200;Church of the Nazarene
Bethany Church;Baton Rouge, LA;8,000;Non-denominational
Bethel Baptist Institutional Church;Jacksonville, FL;8,000;Baptist
Bethel Church[16];Redding, CA;8,700;Non-denominational
Bethel Church of San Jose[17];San Jose, CA;2,200;Assemblies of God
Bethel Korean Presbyterian Church;Ellicott City, MD;2,000;Independent Presbyterian
Bethlehem Baptist Church;Minneapolis, MN;4,600;Converge (Baptist denomination)
Biltmore Church[18];Arden, NC;6,000;Southern Baptist Convention
Beulah Missionary Baptist Church;Atlanta, GA;5,000;Southern Baptist Convention
Bible Way Church of Atlas Road;Columbia, SC;7,000;
Big Valley Grace Community Church[20];Modesto, CA;4,000;Non-denominational
Black Rock Church;Fairfield, CT;2,500;Non-denominational
Brand New Church;Harrison, AR;3,000;Southern Baptist Convention
Brentwood Baptist Church;Brentwood, TN;6,000;Southern Baptist Convention
Briarwood Presbyterian Church;Birmingham, AL;4,100;Presbyterian Church in America
Bridgeway Community Church;Columbia, MD;4,000;Non-denominational
Broadmoor Baptist Church;Madison, MS;3,000;Southern Baptist Convention
Brookland Baptist Church;West Columbia, SC;8,100;
Brooklyn Tabernacle;New York, NY;8,000;Non-denominational
Brookwood Church[21];Simpsonville, SC;5,500;Southern Baptist Convention
Calvary Baptist Church;Winston-Salem, NC;6,000;Southern Baptist Convention
Calvary Chapel Aurora;Aurora, CO;3,500;Calvary Chapel
Calvary Chapel Chino Valley;Chino, CA;8,500;Calvary Chapel
Calvary Chapel Costa Mesa[22];Costa Mesa, CA;9,500;Calvary Chapel
Calvary Chapel Downey;Downey, CA;7,000;Calvary Chapel
Calvary Chapel Fort Lauderdale;Fort Lauderdale, FL;18,500;Calvary Chapel
Calvary Chapel Golden Springs;Diamond Bar, CA;12,000;Calvary Chapel
Calvary Chapel Melbourne;West Melbourne, FL;10,000;Calvary Chapel
Calvary Chapel of Philadelphia;Philadelphia, PA;14,000;Calvary Chapel
Calvary Chapel South Bay;Gardena, CA;9,000;Calvary Chapel
Calvary Chapel;Tucson, AZ;8,000;Calvary Chapel
Calvary Church[23];Charlotte, NC;5,000;
Calvary Church;St. Charles, MO;2,400[24];
Calvary of Albuquerque;Albuquerque, NM;16,800;Calvary Chapel
Calvary Community Church;Phoenix, AZ;11,400;Calvary Chapel
Calvary Revival Church;Norfolk, VA;7,000;
Calvary Orlando;N/A, FL;2,200;Assemblies of God
Campus Church;Pensacola, FL;7,000;
Canyon Ridge Christian Church;Las Vegas, NV;6,000;Christian churches and churches of Christ
Cathedral Church of the Advent[26];Birmingham, AL;3,600;Episcopal Church (United States)
Cathedral of Faith[27];San Jose, CA;7,800;Non-denominational
Cathedral of Hope;Dallas, TX;4,800;United Church of Christ
Cedar Creek Church;Aiken, SC;7,700;Southern Baptist Convention
