name;addr
Amazing Grace Community Church;Lethbridge,AB
Crestwood Presbyterian Church;Edmonton,AB
New City Church;Calgary,AB
Westminster Chapel;Lethbridge,AB
Woodgreen Presbyterian Church;Calgary,AB
Anchorage New Life Presbyterian Church;Anchorage,AK
Faith Presbyterian Church;Anchorage,AK
Redeemer Presbyterian Church;Kenai,AK
Altadena Valley Presbyterian Church;Birmingham,AL
Bethel Presbyterian Church;Union Springs,AL
Boligee Presbyterian Church;Boligee,AL
Brent Presbyterian Church;Brent,AL
Briarwood Presbyterian Church;Birmingham,AL
Cahaba Park Church PCA;Birmingham,AL
Catherine Presbyterian Church;Catherine,AL
Central Presbyterian Church;Emelle,AL
Christ Church PCA;Trussville,AL
Christ Community Church;Springville,AL
Christ Community Church;Helena,AL
Christ Covenant Presbyterian Church;Cullman,AL
Christ Presbyterian Church;Mobile,AL
Christ Presbyterian Church;Owens Cross Roads,AL
Christ Presbyterian Church of Auburn;Auburn,AL
Christ Redeemer Church;Mobile,AL
City Church Midtown;Birmingham,AL
Clayton Presbyterian Church;Clayton,AL
Collinsville Presbyterian Church;Collinsville,AL
Community Presbyterian Church;Moody,AL
Cornerstone Church, PCA;Calera,AL
Cornerstone Presbyterian Church;Huntsville,AL
Covenant Presbyterian Church;Birmingham,AL
Covenant Presbyterian Church;Auburn,AL
Covenant Presbyterian Church;Eufaula,AL
Cross Creek Church;Hoover,AL
Decatur Presbyterian Church;Decatur,AL
Eastern Shore Presbyterian Church;Fairhope,AL
Eastwood Presbyterian Church;Montgomery,AL
Evangel Church PCA;Alabaster,AL
Evangel Presbyterian Church - Oneonta;Oneonta,AL
Faith Presbyterian Church;Birmingham,AL
Faith Presbyterian Church;Anniston,AL
Faunsdale Presbyterian Church;Faunsdale,AL
First Presbyterian Church;Greensboro,AL
First Presbyterian Church;Aliceville,AL
First Presbyterian Church;Centreville,AL
First Presbyterian Church;Russellville,AL
First Presbyterian Church;Demopolis,AL
First Presbyterian Church;Camden,AL
First Presbyterian Church;Dothan,AL
First Presbyterian Church;Greenville,AL
First Presbyterian Church;Uniontown,AL
First Presbyterian Church;Prattville,AL
First Presbyterian Church;Enterprise,AL
First Presbyterian Church;Montgomery,AL
First Presbyterian Church;Troy,AL
First Presbyterian Church;Florala,AL
First Presbyterian Church;Eutaw,AL
First Presbyterian Church;Brewton,AL
First Presbyterian Church;Tuscumbia,AL
First Presbyterian Church;Atmore,AL
First Presbyterian Church of Jasper;Jasper,AL
Good Hope Presbyterian Church;Benton,AL
Grace Community Church;Mobile,AL
Grace Covenant Presbyterian Church;Athens,AL
Grace Fellowship Presbyterian Church;Foley,AL
Grace Fellowship Presbyterian Church;Albertvillle,AL
Grace Fellowship Presbyterian Church;Clanton,AL
Grace Presbyterian Chelsea;Chelsea,AL
Grace Presbyterian Church;Fort Payne,AL
Gulf Coast Presbyterian Church;Gulf Shores,AL
Harvest Community Church;Birmingham,AL
Hayneville Presbyterian Church;Hayneville,AL
Homewood Community Church;Homewood,AL
Hope Community Church;Jacksonville,AL
Household of Faith Church;Birmingham,AL
Knollwood Presbyterian Church;Sylacauga,AL
Lakewood Presbyterian Church;Pell City,AL
Lillian Fellowship Church;Lillian,AL
Linden Presbyterian Church;Linden,AL
