name;addr
Korean American Baptist Church;3315 Tower Rd SW,Albuquerque ,,NM,87121
Phillipino Baptist Church;
Reaching Out Church - Windsor;
Crozet Fellowship Church;
Central BC Okinawa;
Iglesia Punto De Gracia - Ameca, Mexico;
Himeji Baptist Church;
Mariposa House Christian Fellowship;
Hill City Church;
LivingStone Church of Corydon;
International Baptist Church of Manila;
DDCommunity Church Inc;
Iglesia Jehova Sama;
New Heights Christian Fellowship;
Life Giver Church;
The Bridge Gathering;
Freedom Village Church;
Tokyo Baptist Church;
Songtan Central Baptist Church;
Hope City Church;
The Gathering;
Nashua Hanmaum Korean Church;
Bible Family Fellowship;
Iglesia Bautista Pacto de Gracia;
The Shepherd's House Ministries;
Family Ministries for Christ Church;
Iglesia Bautista Pan De Vida;
Revival Community Baptist Church;
Ocean View Baptist Church;
Campus Town Church of Ann Arbor;
Ultimate Faith Church;
Iglesia Bautista Fuente De Vida;
Koza Baptist Church;
New Birth-Kimmelbrook Baptist Church;
Hawaii Good Baptist Church;
Hillside Chapel;
Clinton Korean Baptist Church;
Everybody's Tabernacle;
Graceland Community Baptist Church;
Philippine International Baptist Church, Windsor, ON Canada;
Mississippi Korean Baptist Church;
Friendship Baptist Church;
Friendship Baptist Church;
The Light Global Mission Church;
Palmetto Baptist;
Beech Grove Baptist Church;
First Baptist Church;
First Baptist Church, Ackerly;
Gribble Springs Baptist Church;
Indian Hills Baptist Church;
First Baptist Church, Rusk;
Wind River Church;238 Sand Gulch Rd,Shoshoni,,WY,82649-8647
CrossPoint Baptist Church;1101 Big Horn,Worland,,WY,82401
Delaware Baptist Church;
Cedar Creek Baptist Church;
Allison Avenue Baptist Church;
Witcher Baptist Church;
University Baptist Church of Beavercreek Ohio;
Mount Elim;
WindCity Medicine Bow;306 Utah Street,Medicine Bow,,WY,82329
Water of Life Church;PO Box 633,Cowley,,WY,82420-0633
WindCity Church, North;1005 N Elma St #305,Casper,,WY,82601
Cody Cowboy Church;PO Box 3184,Cody,,WY,82414
Crosswind;233 Custer Street,Lander,,WY,82520
WindCity Church;PO Box 51268,Casper,,WY,82605-1268
Living Water Community Church;PO Box 317,Diamondville,,WY,83116
Iglesia Cristiana Internacional, Big Piney;49 12th St Unit 3 #6,Big Piney,,WY,83113
Set Free Church;620 W. Adams,Riverton,,WY,82501
Iglesia Bautista Principe De Paz;4011 Robertson Rd,Casper,,WY,82604
