name;addr
Brandon United Methodist Church;107 E. Washington Street Brandon WI 53919
Immanuel United Methodist Church;401 W Fond du Lac Street Ripon WI 54971
Eureka United Methodist Church;8832 Wisconsin Street 1 block East of Cty E and Cty K Junction Omro WI 54963
Waupun United Methodist Church;199 East Jefferson St Waupun WI 53963
Markesan United Methodist Church;74 East Catherine Street Markesan WI 53946
Salem-Eldorado United Methodist Church;W 7910 Church Rd Fond du Lac WI 54937
The Federated Church of Green Lake;489 Scott St. Green Lake  WI 54941
Oakfield United Methodist Church;220 Main St Oakfield WI 53065
Princeton Emmanuel;102 W. Harvard St PRINCETON WI 54968
Waukau/Eureka United Methodist Church;State Road 116 & Archery Dr 2644 Highway 116 Waukau WI 54980
Community United Methodist Church;701 Minnesota Avenue Fond du Lac WI 54937
Berlin United Methodist Church;178 West Cumberland St. Berlin WI 54923
Covenant United Methodist Church;20 North Marr Street Fond Du Lac WI 54935
Salem United Methodist Church;120 Sheboygan Street Fond Du Lac WI 54935
Kingston United Methodist Church;w3032 fern drive Montello WI 53949
Wesley United Methodist Church;761 Florida Avenue Oshkosh WI 54902
Randolph Courtland United Methodist Church;227 N high Street Randolph WI 53956
Algoma Boulevard United Methodist Church;1174 Algoma Boulevard Oshkosh WI 54901
First United Methodist Church;700 W LINWOOD AVE OSHKOSH WI 54901
Oshkosh: Living Water Umc United Methodist Church;700 W Linwood Ave Oshkosh WI 54901
Borth United Methodist Church;W304 Co D  (at Junction County  XX) Berlin WI 54923
Trinity United Methodist Church in Lomira;300 Church St Lomira WI 53048
Trinity Church - United Methodist;308 Oneida Street Beaver Dam WI 53916
Dalton Congregational United Methodist Church;W6479 Pine St. Dalton WI 53926
Mayville United Methodist Church;301 Furnace Street Mayville WI 53050
Tabor United Methodist Church;N4224 Church Road Eden WI 53019
Horicon Emmanuel, a member of the Shared Covenant Ministries;222 S CEDAR ST HORICON WI 53032
Neshkoro Zion United Methodist Church;200 E Bluff St Neshkoro WI 54960
Juneau United Methodist Church, a member of the Shared Covenant Minist;127 E OAK GROVE ST JUNEAU WI 53039
Poy Sippi United Methodist Church;W2256 Liberty Street Poy Sippi WI 54967
Trinity United Methodist Church;W3032 Fern Dr Montello WI 53949
Campbellsport United Methodist Church;203 N Fond Du Lac Avenue Campbellsport WI 53010
Faith United Methodist Church;1025 Tullar Rd Neenah WI 54956
Fall River United Methodist Church;150 South St. Fall River WI 53932
Pardeeville United Methodist Church;101 Wisconsin Street Pardeeville WI 53954
Lowell United Methodist Church, a member of the Shared Covenant Minist;225 Cross St LOWELL WI 53557
Grace United Methodist Church;N2133 Southgate Terrace Wautoma WI 54982
First United Methodist Church Neenah-Menasha;108 West Doty Avenue Neenah WI 54956
Columbus United Methodist Church;222 South Dickason Blvd Columbus WI 53925
Moundville United Methodist Church;W5501 County Road O Endeavor WI 53930
The Family Church, a United Methodist Church;2318 American Drive Neenah WI 54956
Greenbush: New Hope United Methodist Church;W7797 Center St. (just south of the Wade House in Greenbush) Glenbeulah WI 53023
Wild Rose United Methodist Church;225 Summit Street Wild Rose WI 54984
Faith United Methodist Church;404 South Main St Westfield WI 53964
Portage United Methodist Church;1804 New Pinery Road Portage WI 53901
Faith Community United Methodist Church;N1966 Julius Drive Greenville WI 54942
First United Methodist Church - Appleton;325 East Franklin Street Appleton WI 54911
Emmanuel United Methodist Church;740 East College Avenue Appleton WI 54911
First United Methodist Church Hartford;738 West Monroe Avenue Hartford WI 53027
Poynette Inch United Methodist Church;402 S Main Street PO BOX 297 Poynette WI 53955
Zion United Methodist Church;N1667 State Highway 28 Adell WI 53001
Bethel United Methodist Church;10509 Meggers Road New Holstein WI 53061
Fifth Avenue United Methodist Church;323 South Fifth Ave West Bend WI 53095
St James United Methodist Church;100 W Capitol Drive Appleton WI 54911
Parfreyville United Methodist Church;N1979 County Road K Waupaca WI 54981
Calvary United Methodist Church;230 E Main St Coloma WI 54930
Crystal Lake United Methodist Church;N697 County Road K Waupaca WI 54981
Briggsville United Methodist Church;W8608 State Road 23 Briggsville WI 53920
Watertown Christ United Methodist Church;112 Hall St Watertown WI 53094
Watertown: Hispanic United Methodist Church;112 Hall St. Janesville WI 53545
First United Methodist Church of Waupaca;720 Demarest Ave. Waupaca WI 54981
New London United Methodist Church;709 West Pine Street New London WI 54961
Zion United Methodist Church;1700 Pogrant Road Appleton WI 54913
Trinity United Methodist Church;425 North Lyndon Street Waldo WI 53093
Kaukauna Peace United Methodist Church;2300 Wisconsin Ave Kaukauna WI 54130
Still Waters Community United Methodist Church;3617 Scenic Road Jackson WI 53037
Waterloo United Methodist Church;348 West Madison Street Waterloo WI 53594
Arlington United Methodist Church;103 Reagles Street Arlington WI 53911
North Windsor United Methodist Church;7523 South Meixner Road Deforest WI 53532
South Burr Oak United Methodist Church;1854 1st Drive Coloma WI 54930
Zion United Methodist Church;N8893 Church Street Hwy 10 & Church Street Forest Junction WI 54123
Center Emmanuel United Methodist Church;N3896 Hample Road Black Creek WI 54106
Faith United Methodist Church;204 Horn Street Brillion WI 54110
Marshall United Methodist Church;318 William Street Marshall WI 53559
Almond United Methodist Church;98 County Road J Almond WI 54909
Davis Corners United Methodist Church;606 County Road I Wisconsin Dells WI 53965
Plainfield United Methodist Church;308 North Main Street P.O. Box 36 Plainfield WI 54966
Sun Prairie United Methodist Church;702 North Street Sun Prairie WI 53590
Manawa United Methodist Church;655 Depot Street Manawa WI 54949
Good Shepherd United Methodist Church;800 Lake Drive Oconomowoc WI 53066
Lake Mills United Methodist Church;271 E Prospect Street lake Mills WI 53551
Faith United Methodist - Sheboygan Falls;633 Detroit Street Sheboygan Falls WI 53085
Johnson Creek United Methodist;220 N WATERTOWN ST JOHNSON CREEK WI 53038
Lodi United Methodist Church;130 Locust St Lodi WI 53555
Concord United Methodist Church;W1110 Concord Center Drive Sullivan WI 53178
Merrimac United Methodist Church;117 Church Street Merrimac WI 53561
Dells-Delton United Methodist Church;320 Unity Drive Wisconsin Dells WI 53965
Sussex United Methodist Church;N63 W23523 Main Street Sussex WI 53089
Baraboo Emanuel;101 14TH ST BARABOO WI 53913
Community United Methodist Church;W68 N563 Evergreen Blvd  Cedarburg WI 53012
Amherst United Methodist Church;163 Laconia St Amherst WI 54406
First United Methodist Church of BARABOO;615 Broadway Street Baraboo WI 53913
Crossroads United Methodist Church;5901 Hogan Rd Waunakee WI 53597
Iola United Methodist Church;190 W Iola Street Iola WI 54945
Grand Avenue United Methodist Church;505 West Grand Avenue Port Washington WI 53074
Sherman Avenue United Methodist Church;3705 N SHERMAN AVE MADISON WI 53704
Fountain Park United Methodist Church;828 Erie Avenue Sheboygan WI 53081
Emmanuel Community United Methodist Church;N84 W16707 Menomonee Avenue Menomonee Falls WI 53051
Sheboygan: Wesley Hispanic Ministry United Methodist Church;829 Union Ave, Sheboygan WI 53081
