,Name,Size,Address,More info,Latitude,Longitude
0,Dominion Ministries,Medium church,"12601 Old Seward Hwy Anchorage, AK",http://www.usachurches.org/church/dominion-ministries.htm,61.106183,-149.860579
1,Anchorage Baptist Temple,Mega church,"6401 E Northern Lights Blvd Anchorage, AK",http://www.usachurches.org/church/anchorage-baptist-temple.htm,61.195317,-149.761095
2,ChangePoint,Mega church,"6689 Changepoint Dr Anchorage, AK",http://www.usachurches.org/church/changepoint.htm,61.159792,-149.907042
3,Immanuel Baptist Church,Medium church,"6748 Old Seward Hwy Anchorage, AK",http://www.usachurches.org/church/immanuel-baptist-church-anchorage.htm,61.15939,-149.864106
4,Cowboy Church of Anchorage,Small church,"7801 E 32nd Ave Anchorage, AK",http://www.usachurches.org/church/cowboy-church-of-anchorage.htm,61.191634,-149.734935
5,The Anchor Missionary Baptist Church,Small church,"5101 O' Malley Rd Anchorage, AK",http://www.usachurches.org/church/the-anchor-missionary-baptist-church.htm,61.123068,-149.786495
6,Christ Temple Apostolic Church,Small church,"22827 Sherman St Chugiak, AK",http://www.usachurches.org/church/christ-temple-apostolic-church.htm,61.396394,-149.455087
7,Bethel Church,Large church,"1310 Farmers Loop Rd Fairbanks, AK",http://www.usachurches.org/church/bethel-church-fairbanks.htm,64.887443,-147.766806
8,Greater New Hope Church of God in Christ,Small church,"3510 College Rd Fairbanks, AK",http://www.usachurches.org/church/greater-new-hope-church-of-god-in-christ.htm,64.856359,-147.808023
9,First Baptist Church of Kenai,Medium church,"12815 Kenai Spur Hwy Kenai, AK",http://www.usachurches.org/church/first-baptist-church-of-kenai.htm,60.561226,-151.29408
10,Oceans United,Medium church,"3416 Woodland Dr Kodiak, AK",http://www.usachurches.org/church/kodiak-assembly-of-god.htm,57.814451,-152.354001
11,New Jerusalem Church of God in Christ,Small church,"2515 Mission Rd North Pole, AK",http://www.usachurches.org/church/new-jerusalem-church-of-god-in-christ-north-pole.htm,64.754877,-147.325247
12,St. Bernard's Catholic Church,Small church,"22136 F St Talkeetna, AK",http://www.usachurches.org/church/st-bernards-catholic-church.htm,62.323684,-150.105428
13,CrossCountry Church,Small church,"2700 E Broadview Ave Wasilla, AK",http://www.usachurches.org/church/cross-country-church.htm,61.570562,-149.379563
14,Unity Christian Center,Medium church,"111 Edmondson Ln Alabaster, AL",http://www.usachurches.org/church/unity-christian-center.htm,33.244037,-86.816869
15,Alexander City First United Methodist Church,Large church,"310 Green St Alexander City, AL",http://www.usachurches.org/church/alexander-city-first-united-methodist-church.htm,32.947729,-85.955273
16,Deliverance Temple Church of God in Christ,Small church,"619 Auburn Ave Andalusia, AL",http://www.usachurches.org/church/deliverance-temple-church-of-god-in-christ.htm,31.299894,-86.485636
17,Sovereign Grace Baptist Church,Small church,"5440 A L-202 Anniston, AL",http://www.usachurches.org/church/sovereign-grace-baptist-church.htm,33.632909,-85.913322
18,Chapel of Grace,Small church,"4456 Elkwood Section Rd Ardmore, AL",http://www.usachurches.org/church/chapel-of-grace.htm,34.977536,-86.749349
19,First Baptist Church,Medium church,"83558 Hwy 9Ashland, AL",http://www.usachurches.org/church/first-baptist-church-ashland.htm,32.977507,-92.565049
20,Ashland First Assembly of God,Medium church,"85621 Hwy 9Ashland, AL",http://www.usachurches.org/church/ashland-first-assembly-of-god.htm,32.348504,-91.701257
21,Saint Paul Community Church,Small church,"923 W Nashville Ave Atmore, AL",http://www.usachurches.org/church/saint-paul-community-church.htm,31.023586,-87.504768
22,McGhee Memorial Temple Church of God in Christ,Small church,"500 Dr Martin Luther King Blvd Bay Minette, AL",http://www.usachurches.org/church/mcghee-memorial-temple-church-of-god-in-christ.htm,30.866266,-87.783202
23,El-Bethel United Christian Church,Small church,"612 W Hurricane Rd Bay Minette, AL",http://www.usachurches.org/church/el-bethel-united-christian-church.htm,30.866041,-87.784081
24,Pleasant Valley Missionary Baptist Church,Small church,"1765 Dotson Dr Bessemer, AL",http://www.usachurches.org/church/pleasantvalleymissionarybaptistchurch.htm,33.421592,-86.891511
25,Renewed Hope Ministries,Small church,"2700 11th Ave N Bessemer, AL",http://www.usachurches.org/church/renewed-hope-ministries.htm,33.417265,-86.95609
26,Seventh Street Baptist Church,Medium church,"513 7th St S Bessemer, AL",http://www.usachurches.org/church/seventh-street-baptist-church.htm,33.384829,-86.955226
27,St. Bede's Anglican Church,Small church,"2350 Grants Mill Rd Birmingham, AL",http://www.usachurches.org/church/st-bedes-anglican-church.htm,33.511956,-86.652686
28,Briarwood Presbyterian Church,Mega church,"2200 Briarwood Way Birmingham, AL",http://www.usachurches.org/church/briarwood-presbyterian-church.htm,33.417329,-86.76096
29,Cahaba Heights United Methodist Church,Medium church,"3139 Cahaba Heights Rd Birmingham, AL",http://www.usachurches.org/church/cahaba-heights-united-methodist-church.htm,33.454772,-86.735392
30,St. Paul Lutheran Church,Medium church,"132 6th Ave S Birmingham, AL",http://www.usachurches.org/church/st-paul-lutheran-church-birmingham.htm,33.494117,-86.827745
31,Hope Lutheran Church,Small church,"4800 Montevallo Rd Irondale, AL",http://www.usachurches.org/church/hope-lutheran-church-birmingham.htm,33.525472,-86.718955
32,The Church of All Nations,Medium church,"4937 5th Ave S Birmingham, AL",http://www.usachurches.org/church/the-church-of-all-nations.htm,33.530547,-86.758358
33,Bryant Memorial Church of God in Christ,Small church,"1273 Avenue M Birmingham, AL",http://www.usachurches.org/church/bryant-memorial-church-of-god-in-christ.htm,33.514796,-86.884208
34,Shades Mountain Baptist Church,Mega church,"2017 Columbiana Rd Birmingham, AL",http://www.usachurches.org/church/shades-mountain-baptist-church.htm,33.439334,-86.807731
35,Dawson Family of Faith,Large church,"1114 Oxmoor Rd Birmingham, AL",http://www.usachurches.org/church/dawson-family-of-faith.htm,33.474137,-86.806326
36,Hunter Street Baptist Church,Mega church,"2600 John Hawkins Pkwy Hoover, AL",http://www.usachurches.org/church/hunter-street-baptist-church.htm,33.356018,-86.838734
37,Episcopal Church Of Jesus,Medium church,"4912 Park Ave S W Birmingham, AL",http://www.usachurches.org/church/episcopal-church-of-jesus.htm,33.444771,-86.906005
38,Church at Brook Hills,Mega church,"3145 Brook Highland Pkwy Birmingham, AL",http://www.usachurches.org/church/church-at-brook-hills.htm,33.426209,-86.669815
39,Faith Apostolic Church,Large church,"2001 Cleburn Ave Birmingham, AL",http://www.usachurches.org/church/faith-apostolic-church-birmingham.htm,33.471802,-86.870274
40,Church of the Highlands,Mega church,"4700 Highlands Way Birmingham, AL",http://www.usachurches.org/church/church-of-the-highlands.htm,33.517637,-86.65573
41,Park Avenue Baptist Church,Medium church,"605 Park Ave Moody, AL",http://www.usachurches.org/church/park-avenue-baptist-church.htm,33.587486,-86.487034
42,Point of Grace Ministries,Large church,"500 Commons Dr Birmingham, AL",http://www.usachurches.org/church/point-of-grace-ministries.htm,33.43902,-86.834549
43,The House of Judah,Small church,"2231 Victory Ln Hoover, AL",http://www.usachurches.org/church/the-house-of-judah.htm,33.379705,-86.79503
44,Christ Anglican Church,Small church,"1953 Old Montgomery Hwy Hoover, AL",http://www.usachurches.org/church/christ-anglican-church.htm,33.356489,-86.807427
45,Bryant Fountain of Love Baptist Church,Medium church,"2130 31st Ave N Birmingham, AL",http://www.usachurches.org/church/bryant-fountain-of-love-baptist-church.htm,33.550755,-86.825172
46,Emmanuel Temple Holiness Church,Small church,"1912 15th Ave N Birmingham, AL",http://www.usachurches.org/church/emmanuel-temple-holiness-church.htm,33.530773,-86.818079
47,The Reach Community Church,Small church,"410 Dobbins Rd Boaz, AL",http://www.usachurches.org/church/the-reach-community-church.htm,34.151221,-86.218158
48,New Life Pentecostal Church,Medium church,"30 Persimmon Ln Columbiana, AL",http://www.usachurches.org/church/apostolic-truth-center.htm,33.163363,-86.634947
49,Fairview Wesleyan Church,Small church,"7667 Hargrove Rd E Cottondale, AL",http://www.usachurches.org/church/fairview-wesleyan-church.htm,33.136236,-87.452504
50,Fountain of Faith Missionary Baptist Church,Medium church,"1308 Dead Lake Rd Creola, AL",http://www.usachurches.org/church/fountain-of-faith-baptist-church.htm,30.907645,-88.004839
51,Koinonia Family Worship Center,Small church,"9755 U. S. 43Creola, AL",http://www.usachurches.org/church/koinonia-family-worship-center.htm,42.090798,-85.144801
52,Temple Baptist Church,Large church,"30 County Rd 1184Cullman, AL",http://www.usachurches.org/church/temple-baptist-church-cullman.htm,34.217726,-87.619031
53,Faith Tabernacle,Small church,"1214 4th St S W Cullman, AL",http://www.usachurches.org/church/faith-tabernacle.htm,34.17042,-86.874257
54,Light of the World Church of God in Christ,Medium church,"1366 U. S. 84Daleville, AL",http://www.usachurches.org/church/light-of-the-world-church-of-god-in-christ.htm,40.870285,-97.921486
55,Destiny Church,Medium church,"28186 U S-98 Daphne, AL",http://www.usachurches.org/church/destiny-church-daphne.htm,30.636328,-87.912464
56,City Hope Church,Large church,"29964 Saint Basil St Daphne, AL",http://www.usachurches.org/church/bay-community-church.htm,30.661034,-87.850209
57,Lifebridge Christian Church,Medium church,"414 Clark St S W Decatur, AL",http://www.usachurches.org/church/lifebridge-christian-church.htm,34.569342,-86.992674
58,Cave Spring Baptist Church,Medium church,"187 Cave Spring Rd Decatur, AL",http://www.usachurches.org/church/cave-spring-baptist-church.htm,34.536545,-86.887573
59,Oak Park Church of God,Small church,"1502 16th Ave S E Decatur, AL",http://www.usachurches.org/church/oakparkchurchofgod.htm,34.582419,-86.967308
60,Living Hope Church of God in Christ,Small church,"1616 Moulton St W Decatur, AL",http://www.usachurches.org/church/living-hope-church-of-god-in-christ.htm,34.604311,-87.009486
61,Flint Church of Christ,Medium church,"1205 Mill Rd S E Decatur, AL",http://www.usachurches.org/church/flint-church-of-christ.htm,34.523079,-86.973823
62,Grace Harvest Church,Small church,"475 W Main St Dothan, AL",http://www.usachurches.org/church/grace-harvest-church.htm,31.224788,-85.398348
63,Allen Temple Church Of God in Chirst,Medium church,"106 Farmer St Dothan, AL",http://www.usachurches.org/church/allentemplechurchofgodinchirst.htm,31.229338,-85.384297
64,Kingdom International Worship Center,Small church,"1550 Westgate Pkwy Dothan, AL",http://www.usachurches.org/church/kingdom-international-worship-center.htm,31.258235,-85.432004
65,Fellowship Church,Small church,"3308 S Shelton Beach Rd Eight Mile, AL",http://www.usachurches.org/church/fellowship-church-eight-mile.htm,30.750078,-88.147707
